solID,operation,target,to,where
0,UMLCloneNode,CashDeskPC,CashDeskPC_xxgtalrcye,
0,Move_Component_New_Node,CashDeskApplication,New-Node_bsurpyaqth,
0,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jcbgrjspqk,New-Node_pmdvsgdvtw
0,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_cmsdujpimx,New-Node_czeslgqcrt
1,Move_Operation_Component,queryOrderById,PrinterController,
1,UMLCloneNode,EnterpriseServer,EnterpriseServer_uxeeimopzy,
1,Move_Component_New_Node,GUIReporting,New-Node_golnqmysno,
1,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_spmgyritfv,New-Node_xatawcegtm
2,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_hrzofhogkx,New-Node_qqrzzqkhxt
2,Move_Component_New_Node,Enterprise,New-Node_ughomkezil,
2,UMLCloneNode,New-Node_ughomkezil,New-Node_ughomkezil_vmjmykdwhw,
2,Move_Operation_Component,queryStockItem,New-Component_hrzofhogkx,
3,Move_Operation_Component,getTransactionContext,Enterprise,
3,Move_Component_New_Node,DataStore,New-Node_ddkbrcuthv,
3,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_ryqnkkxibt,New-Node_igbydmkjdw
3,UMLCloneNode,CashDeskPC,CashDeskPC_gejzmmojpv,
4,UMLCloneNode,EnterpriseServer,EnterpriseServer_thdbgzaaju,
4,Move_Operation_Component,queryOrderById,AppStore,
4,UMLCloneNode,LightDisplay,LightDisplay_aeyssngcxx,
4,UMLCloneNode,LightDisplay_aeyssngcxx,LightDisplay_aeyssngcxx_tpivxqasur,
5,UMLCloneNode,StoreServer,StoreServer_azvkmfoivo,
5,Move_Operation_Component,enterOrderID,Reporting,
5,Move_Component_New_Node,Reporting,New-Node_jptbntsozr,
5,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_eswwtikkge,New-Node_rcypumkqqc
6,Move_Component_New_Node,ScannerController,New-Node_jihyepumci,
6,UMLCloneNode,LightDisplay,LightDisplay_poyzfuplyn,
6,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_gpxdhstlyi,New-Node_hqwunzwroc
6,Move_Operation_Component,queryOrderById,CashBoxController,
7,Move_Operation_New_Component_New_Node,createReport,New-Component_bcwqeousya,New-Node_xhrispdjwj
7,Move_Operation_New_Component_New_Node,stopSale,New-Component_pdprfjovkk,New-Node_vmrwlylurw
7,Move_Component_New_Node,CashDeskGUI,New-Node_muddxpuysh,
7,UMLCloneNode,New-Node_xhrispdjwj,New-Node_xhrispdjwj_dsjggnisxa,
8,Move_Component_New_Node,ScannerController,New-Node_edvvsamfmp,
8,Move_Operation_Component,enterOrderID,AppStore,
8,UMLCloneNode,BarCodeScanner,BarCodeScanner_nnzxsfrxlh,
8,UMLCloneNode,CashDeskPC,CashDeskPC_ckgqshnrty,
9,Move_Component_New_Node,PrinterController,New-Node_pllpwtelra,
9,Move_Operation_Component,stopSale,AppStore,
9,UMLCloneNode,EnterpriseClient,EnterpriseClient_fumjgxbzff,
9,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_tlwbypwgcx,New-Node_ttmotercwg
10,UMLCloneNode,LightDisplay,LightDisplay_calnkfarpn,
10,Move_Operation_New_Component_New_Node,scanProduct,New-Component_unyvmknlzl,New-Node_ivhphnppag
10,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_osswfagcsm,New-Node_sjhajtslma
10,Move_Operation_Component,getTransactionContext,Inventory,
11,Move_Operation_Component,createReport,Inventory,
11,Move_Operation_New_Component_New_Node,getTransaction,New-Component_uvxfhkdahj,New-Node_ymcqsqiwrm
11,Move_Component_New_Node,CashDeskGUI,New-Node_nukqsiierj,
11,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_hhcqfpivyu,New-Node_dtibwkxzgu
12,Move_Operation_Component,getEnterpriseByID,DataStore,
12,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_feouhiyool,New-Node_bkmdnatyti
12,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_tudgjcjjmu,New-Node_cukznvhtzm
12,UMLCloneNode,LightDisplay,LightDisplay_nsilcromum,
13,UMLCloneNode,CashBox,CashBox_hxdlxyvipv,
13,UMLCloneNode,EnterpriseClient,EnterpriseClient_hnwivyfzes,
13,Move_Component_New_Node,Persistence,New-Node_yngksssujp,
13,Move_Operation_Component,saleStartedEvent,CashBoxController,
14,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vtlfodikzw,New-Node_hcnouruocc
14,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_fqzvjiqksi,New-Node_owqzosuhkx
14,Move_Operation_Component,getTransactionContext,GUIStore,
14,Move_Component_New_Node,AppStore,New-Node_kvetzzapxl,
15,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_swadvexfxr,New-Node_toknaubqto
15,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_aekqxgakaw,New-Node_tnytxgohof
15,Move_Component_New_Node,ScannerController,New-Node_gjuzcalxqe,
15,UMLCloneNode,BarCodeScanner,BarCodeScanner_syqwrnnobj,
