operation,target,to,where,exec_time(nanoSec)
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_mifxaynszl,New-Node_jbiomlhkxw,3791247725
Move_Component_New_Node,AppStore,New-Node_bydpofxjkk,,1468292471
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_gblscctkzj,New-Node_dxaftvbxdg,1069716371
UMLCloneNode,EnterpriseClient,EnterpriseClient_ezgvpcfusz,,763192152
Move_Operation_Component,getMeanTimeToDeliveryReport,AppStore,,455746187
Move_Component_New_Node,AppStore,New-Node_ypepairsla,,593853965
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_cxzxwmgmjm,New-Node_biuahwohva,919823714
UMLCloneNode,CashDeskPC,CashDeskPC_gmnymedezw,,457859670
UMLCloneNode,BarCodeScanner,BarCodeScanner_lasjavhpcr,,417701200
Move_Operation_Component,getMeanTimeToDelivery,CashDeskApplication,,260505540
Move_Component_New_Node,Inventory,New-Node_idybksfonm,,445795198
UMLCloneNode,CashBox,CashBox_yfuijapans,,349454655
Move_Component_New_Node,Reporting,New-Node_iepnyejfbo,,455221543
Move_Operation_Component,scanProduct,CashDeskApplication,,205299877
Move_Operation_New_Component_New_Node,stopSale,New-Component_jgatfibsrt,New-Node_gnawmzjrlo,565444466
UMLCloneNode,New-Node_bqadkhqevr,New-Node_bqadkhqevr_zhxzvmwzsn,,224656602
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_pabooduoyt,New-Node_sdudxcdaar,660890071
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_ygiveslfge,New-Node_jpywaqtbdu,630748464
UMLCloneNode,New-Node_sdudxcdaar,New-Node_sdudxcdaar_szmpllqhgx,,433057644
Move_Component_New_Node,GUIReporting,New-Node_nroxhftmya,,498850459
UMLCloneNode,EnterpriseClient,EnterpriseClient_cgwbclzxjj,,398418684
Move_Operation_New_Component_New_Node,createReport,New-Component_lobphbastr,New-Node_iyqlokwnbw,532418060
Move_Component_New_Node,Inventory,New-Node_cquiopfjzp,,419531262
UMLCloneNode,New-Node_iyqlokwnbw,New-Node_iyqlokwnbw_sqnvdsvwvz,,345735110
UMLCloneNode,EnterpriseClient,EnterpriseClient_bijjdznnrm,,320258831
UMLCloneNode,LightDisplay,LightDisplay_oomaceqxcq,,341439566
UMLCloneNode,Printer,Printer_piyrrqroww,,328479555
UMLCloneNode,Printer_piyrrqroww,Printer_piyrrqroww_qgsmwctcjx,,351040749
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_fuovggjhqo,New-Node_qrjvaarnvo,482139005
Move_Component_New_Node,CashDeskApplication,New-Node_crxuhwthct,,374889045
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_pwcvwrvarm,New-Node_lnruejqhgf,541685387
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskApplication,,205768266
Move_Component_New_Node,Enterprise,New-Node_btqpyxgbzw,,438225344
Move_Operation_Component,queryOrderById,Inventory,,225499763
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_amsttfvach,New-Node_skvvuqkbxv,507864400
UMLCloneNode,StoreServer,StoreServer_jtxdxsbicc,,277668603
Move_Component_New_Node,PrinterController,New-Node_mxlnxwmchp,,431598198
Move_Operation_New_Component_New_Node,stopSale,New-Component_hzbtuopfoe,New-Node_hvzmtztrff,600893014
UMLCloneNode,New-Node_jgzsnrxemm,New-Node_jgzsnrxemm_zqchffwkby,,213404444
Move_Operation_Component,getMeanTimeToDeliveryReport,Enterprise,,276525519
UMLCloneNode,StoreServer,StoreServer_mxdipnyiko,,389675410
UMLCloneNode,LightDisplay,LightDisplay_btifdrsvkq,,358103551
Move_Operation_Component,getTransactionContext,DataStore,,193474815
Move_Component_New_Node,CashDeskApplication,New-Node_gpiivrhool,,383843926
Move_Operation_Component,getTransaction,DataStore,,188521617
UMLCloneNode,LightDisplay,LightDisplay_hfzfxcbvnw,,336549497
UMLCloneNode,CashDeskPC,CashDeskPC_ugbdqicorw,,390341389
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_ulyxiltzrk,New-Node_nylevswzmx,554851885
Move_Component_New_Node,Enterprise,New-Node_khuootsxys,,492237249
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_tlthuedhms,New-Node_owmyobemsa,613411056
UMLCloneNode,Printer,Printer_kgzdawokoq,,513945212
UMLCloneNode,EnterpriseServer,EnterpriseServer_emosvzefbs,,390696996
UMLCloneNode,BarCodeScanner,BarCodeScanner_mbchqovtjv,,377758586
UMLCloneNode,BarCodeScanner_mbchqovtjv,BarCodeScanner_mbchqovtjv_rjwefesjqf,,373422466
Move_Component_New_Node,AppStore,New-Node_wpknsqbvbb,,433963152
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_urdzkdffqn,New-Node_dxmgodszki,492836483
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_jjohpbabnw,New-Node_yztecfombt,553556876
UMLCloneNode,EnterpriseServer,EnterpriseServer_hrdlafrllv,,369797799
UMLCloneNode,Printer,Printer_gcvstewvnk,,390139731
UMLCloneNode,New-Node_yztecfombt,New-Node_yztecfombt_tcprbyesqm,,344476100
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_gvijyqkdbo,New-Node_waajiigswv,500699717
Move_Operation_Component,rollInReceivedOrder,Persistence,,216102092
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_zegdqjktrh,New-Node_hwmayobcje,476221689
UMLCloneNode,BarCodeScanner,BarCodeScanner_ffdqhasqbs,,300327469
Move_Component_New_Node,Enterprise,New-Node_khuootsxys,,740823620
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_tlthuedhms,New-Node_owmyobemsa,605903900
UMLCloneNode,Printer,Printer_kgzdawokoq,,376144389
UMLCloneNode,EnterpriseServer,EnterpriseServer_emosvzefbs,,390512029
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_jjohpbabnw,New-Node_yztecfombt,649019654
UMLCloneNode,EnterpriseServer,EnterpriseServer_hrdlafrllv,,400366748
UMLCloneNode,Printer,Printer_gcvstewvnk,,370775613
UMLCloneNode,New-Node_yztecfombt,New-Node_yztecfombt_tcprbyesqm,,328804836
UMLCloneNode,LightDisplay,LightDisplay_mirrtamila,,431849810
Move_Operation_Component,queryOrderById,Inventory,,280889652
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_amsttfvach,New-Node_skvvuqkbxv,580628527
