solID,perfQ,#changes,pas,reliability
7,-0.10561834701657602,9.46,12.0,-0.8207732003085086
13,0.07115878359581332,6.34,5.0,-0.5334346914007755
25,-0.032411384077278546,4.54,12.0,-0.8207732003085086
51,0.07115878359581332,6.34,5.0,-0.5334346914007755
54,0.07115878359581332,6.34,5.0,-0.5334346914007755
59,-0.17019460973733017,7.16,12.0,0.18225187595250025
65,-0.032411384077278546,4.54,12.0,-0.8207732003085086
106,0.07115878359581332,6.34,5.0,-0.5334346914007755
107,-0.032411384077278546,4.54,12.0,-0.8207732003085086
110,0.07115878359581332,6.34,5.0,-0.5334346914007755
111,-0.11160983001593326,11.92,8.0,-0.8207732003085086
114,-0.17019460973733017,7.16,12.0,0.18225187595250025
136,-0.032411384077278546,4.54,12.0,-0.8207732003085086
168,0.11057118993972591,6.34,5.0,-0.5357781465643525
169,-0.032411384077278546,4.54,12.0,-0.8207732003085086
172,0.07115878359581332,6.34,5.0,-0.5334346914007755
