solID,operation,target,to,where
4,UMLCloneNode,EnterpriseServer,EnterpriseServer_gaofokbesu,
4,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
4,Move_Operation_Component,getEnterpriseByID,AppStore,
4,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
11,Move_Operation_New_Component_New_Node,createReport,New-Component_cpqoppjelf,New-Node_ycpmuqysmt
11,UMLCloneNode,Printer,Printer_avsmpdqpjq,
11,UMLCloneNode,EnterpriseServer,EnterpriseServer_suygfbdzec,
11,UMLCloneNode,CashDeskPC,CashDeskPC_szzisbaoro,
13,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_yhapzsprbm,New-Node_kpaipbtkmq
13,Move_Operation_Component,getMeanTimeToDelivery,GUIReporting,
13,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zootlvyiaw,New-Node_fyruwofhlo
13,UMLCloneNode,New-Node_fyruwofhlo,New-Node_fyruwofhlo_muwlrtajok,
19,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_tfjtxniysy,New-Node_esjmprugmu
19,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
19,Move_Operation_Component,getEnterpriseByID,AppStore,
19,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
45,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_yhapzsprbm,New-Node_kpaipbtkmq
45,Move_Operation_Component,getMeanTimeToDelivery,GUIReporting,
45,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zootlvyiaw,New-Node_fyruwofhlo
45,UMLCloneNode,New-Node_fyruwofhlo,New-Node_fyruwofhlo_muwlrtajok,
48,Move_Component_New_Node,CashBoxController,New-Node_zyjxdcbctu,
48,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
48,Move_Operation_Component,getEnterpriseByID,AppStore,
48,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
52,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_yhapzsprbm,New-Node_kpaipbtkmq
52,Move_Operation_Component,getMeanTimeToDelivery,GUIReporting,
52,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zootlvyiaw,New-Node_fyruwofhlo
52,UMLCloneNode,New-Node_fyruwofhlo,New-Node_fyruwofhlo_muwlrtajok,
61,Move_Component_New_Node,Reporting,New-Node_dkanfjziae,
61,Move_Operation_Component,queryStockItem,GUIReporting,
61,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_xmdjipqoha,New-Node_luiolgkdrv
61,UMLCloneNode,EnterpriseClient,EnterpriseClient_rupevenebg,
64,UMLCloneNode,CashDeskPC,CashDeskPC_iaqehupdfq,
64,Move_Operation_Component,queryStockItem,GUIReporting,
64,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_xmdjipqoha,New-Node_luiolgkdrv
64,UMLCloneNode,EnterpriseClient,EnterpriseClient_rupevenebg,
65,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_tfjtxniysy,New-Node_esjmprugmu
65,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
65,Move_Operation_Component,getEnterpriseByID,AppStore,
65,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
68,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_tfjtxniysy,New-Node_esjmprugmu
68,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
68,Move_Operation_Component,getEnterpriseByID,AppStore,
68,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
69,UMLCloneNode,EnterpriseServer,EnterpriseServer_gaofokbesu,
69,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
69,Move_Operation_Component,getEnterpriseByID,AppStore,
69,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
72,UMLCloneNode,StoreServer,StoreServer_krwnmvvfgu,
72,Move_Operation_New_Component_New_Node,createReport,New-Component_ubgnblsxed,New-Node_xhdpahczif
72,Move_Component_New_Node,CashBoxController,New-Node_lcphrsgsma,
72,Move_Operation_Component,enterOrderID,ScannerController,
80,Move_Component_New_Node,CashBoxController,New-Node_zyjxdcbctu,
80,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
80,Move_Operation_Component,getEnterpriseByID,AppStore,
80,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qjpyesgpfp,New-Node_sozdzjmanq
84,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_rcteouoyhz,New-Node_ysrtaurywf
84,UMLCloneNode,CashDeskPC,CashDeskPC_typzuattza,
84,Move_Operation_Component,getTransaction,ScannerController,
84,UMLCloneNode,EnterpriseServer,EnterpriseServer_ehlhxqtewe,
85,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_tfjtxniysy,New-Node_esjmprugmu
85,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_apoppnjlcq,New-Node_yzdvjkvgxj
85,Move_Operation_Component,getEnterpriseByID,AppStore,
85,UMLCloneNode,New-Node_yzdvjkvgxj,New-Node_yzdvjkvgxj_mdrjwnvbkm,
