operation,target,to,where,exec_time(nanoSec)
Move_Operation_Component,productBarCodeScannedEvent,GUIReporting,,1546845812
Move_Operation_New_Component_New_Node,stopSale,New-Component_vxyclxcstt,New-Node_cmbdbkjoko,1223352295
Move_Component_New_Node,Enterprise,New-Node_kavwpcftnc,,802459821
Move_Operation_New_Component_New_Node,scanProduct,New-Component_eqjthepcuq,New-Node_zrfmymjqps,798454171
Move_Component_New_Node,GUIReporting,New-Node_xidksjkrjb,,791886717
Move_Operation_Component,rollInReceivedOrder,GUIStore,,540053266
UMLCloneNode,EnterpriseClient,EnterpriseClient_fqnyrnvgqb,,791320625
Move_Operation_New_Component_New_Node,createReport,New-Component_xbbtaytqlw,New-Node_dkhtedmgkp,786296264
Move_Component_New_Node,Persistence,New-Node_mneicjddeh,,588568866
UMLCloneNode,CashBox,CashBox_iowkpztdfh,,420956644
Move_Operation_Component,getMeanTimeToDeliveryReport,CashBoxController,,324318884
UMLCloneNode,BarCodeScanner,BarCodeScanner_mblpejridk,,408834695
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_pwskvfnwpu,New-Node_bpxycbswcl,563021583
Move_Operation_Component,rollInReceivedOrder,PrinterController,,222729649
Move_Operation_New_Component_New_Node,createReport,New-Component_hitsbpmfyc,New-Node_mbcynxsajo,504307511
UMLCloneNode,CashDeskPC,CashDeskPC_kzkskfiszj,,374063317
Move_Operation_Component,getMeanTimeToDelivery,CashDeskGUI,,232919215
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_afqgjezrsl,New-Node_zhqmsrsvzt,527187633
UMLCloneNode,EnterpriseServer,EnterpriseServer_pvicnvkgyl,,347332285
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jfvndakpec,New-Node_yzchfhtcto,538734914
Move_Operation_Component,scanProduct,CashDeskApplication,,271310290
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,372021068
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,508707091
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,364009236
UMLCloneNode,EnterpriseClient,EnterpriseClient_kgumxknwui,,400774472
Move_Component_New_Node,GUIStore,New-Node_snojgvupyu,,396258364
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_bqsnrngtre,New-Node_wdchhxlbsg,551920097
Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_ouexohmfeg,New-Node_tiormnbgcf,466347975
UMLCloneNode,Printer,Printer_ekupoevase,,336360773
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_xffmcaxdvl,New-Node_knqdivuguz,476006926
Move_Operation_New_Component_New_Node,startSale,New-Component_qjxowcsfcd,New-Node_ertrpccfbl,457053869
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jmuyugjubo,New-Node_ymccxwiupp,499136245
UMLCloneNode,EnterpriseClient,EnterpriseClient_gcddfmlfhn,,367053433
Move_Operation_Component,getTransaction,Reporting,,225750142
Move_Component_New_Node,Reporting,New-Node_ishvcohjjv,,431784137
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_oetjvjwjtz,New-Node_bmacpvvsor,517846839
Move_Operation_Component,enterOrderID,ScannerController,,257858427
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vkzgeaxkbx,New-Node_rdjaioxwlq,475051875
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_uhyiqfptif,New-Node_vkghdudflm,553495952
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_bmsuzpnwoi,New-Node_ceagqyawwx,549938121
UMLCloneNode,EnterpriseServer,EnterpriseServer_teisibmqyg,,385741354
UMLCloneNode,EnterpriseServer,EnterpriseServer_hnngtxtvcf,,406870512
Move_Operation_Component,getMeanTimeToDeliveryReport,Inventory,,282143343
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_biezrcfdtw,New-Node_fjqxeovgtl,490515841
UMLCloneNode,BarCodeScanner,BarCodeScanner_tcpmlgapfq,,322897048
Move_Operation_Component,printRunningTotal,Enterprise,,198319057
Move_Component_New_Node,PrinterController,New-Node_mzohjiclkx,,428469892
UMLCloneNode,New-Node_mzohjiclkx,New-Node_mzohjiclkx_bbalnpdkey,,341851970
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qvppykqadp,New-Node_xsspsqcris,545277533
Move_Operation_Component,createReport,PrinterController,,250155634
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,505704721
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,512228734
Move_Component_New_Node,Inventory,New-Node_vutaeeuvhs,,504806227
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cmqflknjwz,New-Node_zhkwdrnsjm,521880332
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ktgszmqqxa,New-Node_uumoodfhnx,615281743
UMLCloneNode,CashBox,CashBox_tzuktmvqsj,,419080857
UMLCloneNode,EnterpriseClient,EnterpriseClient_uuuaoqhnpt,,376842889
Move_Component_New_Node,DataStore,New-Node_bupmlqqdsp,,405131441
Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskGUI,,305489588
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yshyqzmnjx,New-Node_jcnazypnzf,558012100
Move_Operation_Component,rollInReceivedOrder,GUIStore,,274289988
UMLCloneNode,CashDeskPC,CashDeskPC_lorakjejgx,,392086151
Move_Component_New_Node,DataStore,New-Node_ykteocxpmt,,456635624
UMLCloneNode,StoreServer,StoreServer_ofhlgonskc,,333081835
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qvppykqadp,New-Node_xsspsqcris,461094875
Move_Operation_Component,createReport,PrinterController,,224339217
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,504026304
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,523128551
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_pwskvfnwpu,New-Node_bpxycbswcl,585076077
Move_Operation_Component,rollInReceivedOrder,PrinterController,,172348482
Move_Operation_New_Component_New_Node,createReport,New-Component_hitsbpmfyc,New-Node_mbcynxsajo,461304749
UMLCloneNode,CashDeskPC,CashDeskPC_kzkskfiszj,,459677267
UMLCloneNode,EnterpriseServer,EnterpriseServer_teisibmqyg,,414615374
UMLCloneNode,EnterpriseServer,EnterpriseServer_hnngtxtvcf,,369213133
Move_Operation_Component,getMeanTimeToDeliveryReport,Inventory,,242693602
