solID,perfQ,#changes,pas,reliability
7,-0.2981817281348916,16.69,6.0,-0.8350995090039544
58,-0.21177810876297953,11.39,11.0,-0.04406860459906603
62,-0.2981817281348916,16.69,6.0,-0.8350995090039544
69,-0.21177810876297953,11.39,11.0,-0.04406860459906603
82,-0.2981817281348916,16.69,6.0,-0.8350995090039544
83,-0.18357761270228187,5.36,13.0,-0.8195967426656634
89,-0.0829280508403283,8.93,11.0,-0.7652206581204413
112,-0.06915665815110747,6.6899999999999995,12.0,-0.7654950477465018
115,-0.03474382243916524,5.24,11.0,-0.7652206581204413
118,-0.1533789599877721,9.239999999999998,11.0,-0.11780290658255788
119,-0.2981817281348916,16.69,6.0,-0.8350995090039544
126,-0.0347444715324424,6.6899999999999995,12.0,-0.8377398167151214
128,-0.2981817281348916,16.69,6.0,-0.8350995090039544
129,-0.1533789599877721,9.239999999999998,11.0,-0.11780290658255788
132,-0.0829280508403283,8.93,11.0,-0.7652206581204413
133,-0.2981817281348916,16.69,6.0,-0.8350995090039544
