solID,operation,target,to,where
0,Move_Component_New_Node,DataStore,New-Node_zwbnnnxcat,
0,Move_Operation_Component,getProductWithStockItem,CashDeskGUI,
0,UMLCloneNode,New-Node_pcdpmsoxwt,New-Node_pcdpmsoxwt_jatgocqbly,
0,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_mhdhrfvmpc,New-Node_rxjmhioabj
1,UMLCloneNode,EnterpriseClient,EnterpriseClient_drogsbvwko,
1,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_gytklfqdpo,New-Node_nwxtiwyigc
1,Move_Component_New_Node,Inventory,New-Node_btaofhimli,
1,Move_Operation_Component,getTransactionContext,GUIStore,
2,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_oxhwtxqyln,New-Node_ybcaimpoij
2,Move_Component_New_Node,GUIReporting,New-Node_fvnpojlnyw,
2,Move_Operation_Component,getTransactionContext,Inventory,
2,UMLCloneNode,Printer,Printer_uayduhzdmh,
3,Move_Component_New_Node,CashDeskGUI,New-Node_crnqbwdrtk,
3,UMLCloneNode,CashBox,CashBox_brhinylcxo,
3,Move_Operation_Component,createReport,Persistence,
3,UMLCloneNode,EnterpriseClient,EnterpriseClient_woqinzgioi,
4,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jpbpagyznh,New-Node_wpxvcxzrmt
4,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_skcechrkzz,New-Node_wfwduyojyq
4,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_lyizebyziv,New-Node_orvqpsnnbl
4,Move_Component_New_Node,AppStore,New-Node_iwooiymnyp,
5,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_yyymtemmiz,New-Node_mmxpgrgkmo
5,Move_Component_New_Node,Persistence,New-Node_zvjzqstvar,
5,UMLCloneNode,Printer,Printer_koqubllbrj,
5,Move_Operation_New_Component_New_Node,getTransaction,New-Component_hxmxkrdnic,New-Node_jhyhkzrxbz
6,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_hnnczhiegu,New-Node_utyvzcdeuf
6,UMLCloneNode,BarCodeScanner,BarCodeScanner_hggbrznfjx,
6,Move_Operation_Component,getMeanTimeToDelivery,New-Component_hnnczhiegu,
6,UMLCloneNode,Printer,Printer_ejqcxdwyhv,
7,Move_Operation_Component,saleStartedEvent,Inventory,
7,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_fbkiavhzry,New-Node_aissurbcdb
7,Move_Component_New_Node,ScannerController,New-Node_iujwugrjbe,
7,UMLCloneNode,CashBox,CashBox_hueqzdrelh,
8,Move_Operation_New_Component_New_Node,createReport,New-Component_rcnaorbity,New-Node_drzglqubxc
8,Move_Component_New_Node,New-Component_rcnaorbity,New-Node_afcjaamtsd,
8,Move_Operation_Component,saleStartedEvent,GUIReporting,
8,Move_Operation_New_Component_New_Node,startSale,New-Component_dsmrmftwas,New-Node_ljuvfciznm
9,Move_Operation_Component,getTransactionContext,CashDeskGUI,
9,Move_Operation_New_Component_New_Node,getTransaction,New-Component_jtszuslnrc,New-Node_vbapyfgcmu
9,Move_Operation_New_Component_New_Node,getTransaction,New-Component_ohpoqykjfa,New-Node_gofxaxjhqt
9,UMLCloneNode,New-Node_gofxaxjhqt,New-Node_gofxaxjhqt_cfxlckzvwr,
10,UMLCloneNode,EnterpriseClient,EnterpriseClient_rcefdcquwc,
10,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_tkcaffwbls,New-Node_vynmqvpqjs
10,Move_Operation_Component,getEnterpriseByID,GUIReporting,
10,UMLCloneNode,CashDeskPC,CashDeskPC_ajahhlvnqp,
11,Move_Operation_Component,saleStartedEvent,Inventory,
11,UMLCloneNode,StoreServer,StoreServer_esoxtpwsdq,
11,Move_Component_New_Node,GUIStore,New-Node_qlnazksqql,
11,Move_Operation_New_Component_New_Node,stopSale,New-Component_fmzhgciudd,New-Node_iwllwyinkn
12,Move_Component_New_Node,CashDeskApplication,New-Node_eflvokzdvs,
12,Move_Operation_Component,printRunningTotal,ScannerController,
12,UMLCloneNode,New-Node_eflvokzdvs,New-Node_eflvokzdvs_fefwdifjcm,
12,UMLCloneNode,New-Node_eflvokzdvs_fefwdifjcm,New-Node_eflvokzdvs_fefwdifjcm_utdupzzsuv,
13,UMLCloneNode,CashBox,CashBox_plxyssidku,
13,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ncerjxfgje,New-Node_kslkxdtwjr
13,Move_Component_New_Node,Reporting,New-Node_yutxrvwtqs,
13,Move_Operation_New_Component_New_Node,createReport,New-Component_jshejshrod,New-Node_ugdgjnjsml
14,UMLCloneNode,CashDeskPC,CashDeskPC_lemunvkipl,
14,Move_Operation_New_Component_New_Node,getTransaction,New-Component_fitnhtbzrf,New-Node_rbghvfkexv
14,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_spniudayzt,New-Node_mbqqdietbm
14,Move_Operation_New_Component_New_Node,stopSale,New-Component_fwinfvbohx,New-Node_nvemntdobx
15,UMLCloneNode,BarCodeScanner,BarCodeScanner_taadqndbij,
15,Move_Operation_Component,saleStartedEvent,Enterprise,
15,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_prppxdabce,New-Node_jxlcbfdwze
15,UMLCloneNode,EnterpriseClient,EnterpriseClient_rctljtyktv,
