solID,operation,target,to,where
0,Move_Operation_Component,createReport,DataStore,
0,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_idhzzabscc,New-Node_synxrqkdnc
0,Move_Operation_New_Component_New_Node,startSale,New-Component_vevfffopqw,New-Node_pmibxuhjdj
0,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_nscmuvusku,New-Node_gjrulocjob
1,UMLCloneNode,EnterpriseServer,EnterpriseServer_uwakzwbwmu,
1,Move_Operation_Component,getTransactionContext,Reporting,
1,Move_Component_New_Node,DataStore,New-Node_ujnbwcrirx,
1,UMLCloneNode,EnterpriseServer_uwakzwbwmu,EnterpriseServer_uwakzwbwmu_ljtavdcnfh,
2,Move_Operation_Component,getTransaction,GUIStore,
2,UMLCloneNode,CashBox,CashBox_sbelblgymg,
2,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_ctiovrrocq,New-Node_ijtqxjlcbu
2,Move_Component_New_Node,CashDeskGUI,New-Node_icunnamvqb,
3,UMLCloneNode,LightDisplay,LightDisplay_kcnraibtnt,
3,UMLCloneNode,LightDisplay,LightDisplay_tbfqmubdxr,
3,Move_Component_New_Node,CashDeskGUI,New-Node_jgnwqvkisn,
3,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_qrhpgzsfkf,New-Node_hjvwuoddsp
4,Move_Component_New_Node,Inventory,New-Node_goablafhvs,
4,Move_Operation_Component,getMeanTimeToDeliveryReport,AppStore,
4,Move_Operation_New_Component_New_Node,createReport,New-Component_qtmedsteyx,New-Node_wshfvjzeqj
4,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_ilrulhndrt,New-Node_umnzjialgr
5,Move_Operation_Component,saleStartedEvent,Persistence,
5,UMLCloneNode,Printer,Printer_ubbkedyhzm,
5,UMLCloneNode,LightDisplay,LightDisplay_zclufkzvnq,
5,UMLCloneNode,StoreServer,StoreServer_uafkpuphzb,
6,Move_Operation_Component,scanProduct,Enterprise,
6,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_iowamglzcz,New-Node_rnklhctiuz
6,UMLCloneNode,StoreServer,StoreServer_lyjmgzpznb,
6,Move_Component_New_Node,Reporting,New-Node_yqqamfstiv,
7,UMLCloneNode,CashDeskPC,CashDeskPC_tnbfxykzyq,
7,UMLCloneNode,LightDisplay,LightDisplay_odxmgyhhef,
7,UMLCloneNode,CashBox,CashBox_uwmwpcyuja,
7,Move_Component_New_Node,Enterprise,New-Node_ndhgkxbyvq,
8,Move_Component_New_Node,GUIReporting,New-Node_axtecgeygz,
8,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_miizzowati,New-Node_evdhrfufqi
8,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_efxrabatvq,New-Node_ohnzjwmfkl
8,UMLCloneNode,CashDeskPC,CashDeskPC_kpscbtidxu,
9,Move_Component_New_Node,Persistence,New-Node_ibpbqjbfiv,
9,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_ilieptbqhs,New-Node_zaibwhlkif
9,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lrpmdsyhjq,New-Node_gzmoeojilq
9,UMLCloneNode,New-Node_zaibwhlkif,New-Node_zaibwhlkif_nmrxbnsijr,
10,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_dyxiungbwk,New-Node_oqhrlzbclv
10,UMLCloneNode,CashDeskPC,CashDeskPC_dazffdwiuj,
10,Move_Operation_Component,saleStartedEvent,PrinterController,
10,Move_Component_New_Node,DataStore,New-Node_sogwdvacor,
11,Move_Component_New_Node,GUIStore,New-Node_gpnceibujl,
11,Move_Operation_Component,getMeanTimeToDeliveryReport,CashDeskApplication,
11,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_hwlskkdwmk,New-Node_knymlncdxj
11,UMLCloneNode,LightDisplay,LightDisplay_ftiikcoanf,
12,Move_Operation_Component,productBarCodeScannedEvent,DataStore,
12,UMLCloneNode,LightDisplay,LightDisplay_pvqfqhcyfr,
12,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_qpwoosrant,New-Node_adljgetyeq
12,Move_Component_New_Node,GUIReporting,New-Node_ryfwcqtdld,
13,Move_Operation_Component,getTransactionContext,CashBoxController,
13,Move_Component_New_Node,GUIStore,New-Node_amvjrfvmil,
13,Move_Operation_New_Component_New_Node,getTransaction,New-Component_eqtpiuetdf,New-Node_xdekdomyfg
13,UMLCloneNode,Printer,Printer_lhyotxfcyd,
14,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_gzfzowufmm,New-Node_cnuxwwfuvz
14,Move_Operation_Component,enterOrderID,Enterprise,
14,Move_Component_New_Node,Inventory,New-Node_wenatdbhwo,
14,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_kdmowtzdlb,New-Node_mhjyuefnat
15,UMLCloneNode,CashDeskPC,CashDeskPC_mpfbufgelr,
15,UMLCloneNode,CashDeskPC,CashDeskPC_maxpuypnnu,
15,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_zpqfqsgine,New-Node_cixmcohhpk
15,Move_Component_New_Node,AppStore,New-Node_rkfrghkfdy,
