solID,perfQ,#changes,pas,reliability
2,-0.0593525199452855,5.99,12.0,-0.8125130923172283
7,-0.26434897782006966,11.39,12.0,-0.7459195479517639
8,-0.10232338774692896,6.34,12.0,0.18942682450481996
13,-0.1266676385948779,8.96,15.0,-0.7829377089502415
29,-0.26434897782006966,11.39,12.0,-0.7459195479517639
36,-0.10232338774692896,6.34,12.0,0.18942682450481996
45,-0.0593525199452855,5.99,12.0,-0.8125130923172283
48,-0.1266676385948779,8.96,15.0,-0.7829377089502415
53,-0.0593525199452855,5.99,12.0,-0.8125130923172283
57,-0.26434897782006966,11.39,12.0,-0.7459195479517639
106,-0.0593525199452855,5.99,12.0,-0.8125130923172283
107,-0.0593525199452855,5.99,12.0,-0.8125130923172283
135,-0.0593525199452855,5.99,12.0,-0.8125130923172283
142,-0.0593525199452855,5.99,12.0,-0.8125130923172283
147,-0.22121695044736864,15.079999999999998,7.0,-0.73055875251919
151,-0.0593525199452855,5.99,12.0,-0.8125130923172283
