solID,operation,target,to,where
0,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_tjuzufmnyg,New-Node_vsgubvhoyc
0,Move_Operation_Component,scanProduct,DataStore,
0,UMLCloneNode,EnterpriseServer,EnterpriseServer_zbeodoxwru,
0,Move_Operation_New_Component_New_Node,startSale,New-Component_iqeeaejpbu,New-Node_bnvzoseyhz
13,Move_Component_New_Node,Reporting,New-Node_fzjmstwzai,
13,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_btbbijgnda,New-Node_agbqslsbsy
13,UMLCloneNode,New-Node_agbqslsbsy,New-Node_agbqslsbsy_jkfwqodhvd,
13,UMLCloneNode,EnterpriseClient,EnterpriseClient_bogsxkopji,
48,Move_Component_New_Node,GUIStore,New-Node_wyfvmnydkh,
48,Move_Operation_Component,printRunningTotal,ScannerController,
48,UMLCloneNode,New-Node_wyfvmnydkh,New-Node_wyfvmnydkh_ksdhnxebyb,
48,UMLCloneNode,EnterpriseClient,EnterpriseClient_eqospllixy,
53,Move_Component_New_Node,Reporting,New-Node_fzjmstwzai,
53,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_btbbijgnda,New-Node_agbqslsbsy
53,UMLCloneNode,New-Node_agbqslsbsy,New-Node_agbqslsbsy_jkfwqodhvd,
53,UMLCloneNode,EnterpriseClient,EnterpriseClient_bogsxkopji,
68,Move_Component_New_Node,GUIStore,New-Node_wyfvmnydkh,
68,Move_Operation_Component,printRunningTotal,ScannerController,
68,UMLCloneNode,New-Node_wyfvmnydkh,New-Node_wyfvmnydkh_ksdhnxebyb,
68,UMLCloneNode,EnterpriseClient,EnterpriseClient_eqospllixy,
76,Move_Component_New_Node,Reporting,New-Node_fzjmstwzai,
76,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_btbbijgnda,New-Node_agbqslsbsy
76,UMLCloneNode,New-Node_agbqslsbsy,New-Node_agbqslsbsy_jkfwqodhvd,
76,UMLCloneNode,EnterpriseClient,EnterpriseClient_bogsxkopji,
77,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_tjuzufmnyg,New-Node_vsgubvhoyc
77,Move_Operation_Component,scanProduct,DataStore,
77,UMLCloneNode,EnterpriseServer,EnterpriseServer_zbeodoxwru,
77,Move_Operation_New_Component_New_Node,startSale,New-Component_iqeeaejpbu,New-Node_bnvzoseyhz
96,Move_Operation_New_Component_New_Node,startSale,New-Component_qxjxbexhaw,New-Node_piknnxcypo
96,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_vlcrairjzg,New-Node_slfpswtvwl
96,Move_Component_New_Node,PrinterController,New-Node_oxookmzcai,
96,Move_Operation_Component,getEnterpriseByID,GUIStore,
97,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_ermyzdrucv,New-Node_rszvgrbidn
97,Move_Operation_Component,printRunningTotal,ScannerController,
97,UMLCloneNode,New-Node_wyfvmnydkh,New-Node_wyfvmnydkh_ksdhnxebyb,
97,UMLCloneNode,EnterpriseClient,EnterpriseClient_eqospllixy,
100,Move_Component_New_Node,Reporting,New-Node_fzjmstwzai,
100,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_btbbijgnda,New-Node_agbqslsbsy
100,UMLCloneNode,New-Node_agbqslsbsy,New-Node_agbqslsbsy_jkfwqodhvd,
100,UMLCloneNode,EnterpriseClient,EnterpriseClient_bogsxkopji,
105,Move_Component_New_Node,Reporting,New-Node_fzjmstwzai,
105,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_btbbijgnda,New-Node_agbqslsbsy
105,UMLCloneNode,New-Node_agbqslsbsy,New-Node_agbqslsbsy_jkfwqodhvd,
105,UMLCloneNode,EnterpriseClient,EnterpriseClient_bogsxkopji,
108,Move_Component_New_Node,GUIStore,New-Node_wyfvmnydkh,
108,Move_Operation_Component,printRunningTotal,ScannerController,
108,UMLCloneNode,New-Node_wyfvmnydkh,New-Node_wyfvmnydkh_ksdhnxebyb,
108,UMLCloneNode,EnterpriseClient,EnterpriseClient_eqospllixy,
109,Move_Component_New_Node,GUIStore,New-Node_jkhsqhbkdy,
109,Move_Operation_Component,scanProduct,DataStore,
109,UMLCloneNode,EnterpriseServer,EnterpriseServer_zbeodoxwru,
109,Move_Operation_New_Component_New_Node,startSale,New-Component_iqeeaejpbu,New-Node_bnvzoseyhz
130,Move_Component_New_Node,GUIStore,New-Node_jkhsqhbkdy,
130,Move_Operation_Component,scanProduct,DataStore,
130,UMLCloneNode,EnterpriseServer,EnterpriseServer_zbeodoxwru,
130,Move_Operation_New_Component_New_Node,startSale,New-Component_iqeeaejpbu,New-Node_bnvzoseyhz
131,Move_Component_New_Node,GUIStore,New-Node_wyfvmnydkh,
131,Move_Operation_Component,printRunningTotal,ScannerController,
131,UMLCloneNode,New-Node_wyfvmnydkh,New-Node_wyfvmnydkh_ksdhnxebyb,
131,UMLCloneNode,EnterpriseClient,EnterpriseClient_eqospllixy,
134,Move_Operation_New_Component_New_Node,getTransaction,New-Component_rslpnfqmbl,New-Node_lohaifvesk
134,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_vlcrairjzg,New-Node_slfpswtvwl
134,Move_Component_New_Node,PrinterController,New-Node_oxookmzcai,
134,Move_Operation_Component,getEnterpriseByID,GUIStore,
