operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,DataStore,New-Node_rpqsahvncc,,1794575938
UMLCloneNode,CashDeskPC,CashDeskPC_gmccuqdrjb,,723510187
UMLCloneNode,EnterpriseClient,EnterpriseClient_nqokflceab,,642173026
Move_Operation_Component,productBarCodeScannedEvent,AppStore,,486156197
Move_Component_New_Node,Persistence,New-Node_gqqkdagdkm,,795981405
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_fgsunsqwmy,New-Node_khwzswnhqk,1039458526
Move_Operation_Component,getMeanTimeToDeliveryReport,Persistence,,391688315
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_yfxfmhzpmz,New-Node_jvmdohflrr,810976080
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_tulzakiqxi,New-Node_uiovbvmqzs,773404150
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_nvfuteowbh,New-Node_hxneeuraqt,860841050
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_qtdjmckgsc,New-Node_axxnrmkgmn,625645727
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_alabgyrfms,New-Node_zfoykqkfel,895131686
Move_Component_New_Node,GUIStore,New-Node_cudlyrwine,,472632338
Move_Operation_Component,printRunningTotal,GUIReporting,,295633828
UMLCloneNode,Printer,Printer_nspgjzhooq,,406959409
UMLCloneNode,LightDisplay,LightDisplay_ifawuoscob,,384189464
Move_Component_New_Node,GUIReporting,New-Node_rlzsofgfxk,,475677488
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jegthlvwcn,New-Node_daixystrww,601408410
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_kbcmyiihhk,New-Node_uvvalhtpin,615827447
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_onjsalevfi,New-Node_verdggumgy,578843550
UMLCloneNode,CashBox,CashBox_xjcaihonzn,,414376016
Move_Operation_Component,createReport,Inventory,,228341852
UMLCloneNode,LightDisplay,LightDisplay_qstdkojiva,,432097304
UMLCloneNode,Printer,Printer_dtkhjhhdhs,,356713906
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_suxregpqkz,New-Node_quuxpuysxx,570805819
Move_Component_New_Node,ScannerController,New-Node_bplymkenph,,378817461
Move_Operation_Component,queryStockItem,GUIStore,,209170795
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_ewsvzzrows,New-Node_xfgfltkikc,487363059
Move_Operation_New_Component_New_Node,startSale,New-Component_jdjcsbtymt,New-Node_xoitlfciin,522096517
Move_Component_New_Node,GUIReporting,New-Node_lxrwijxmjy,,386397404
Move_Operation_Component,stopSale,Enterprise,,262178167
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_vnjwppopxq,New-Node_axbemxduoq,579310526
Move_Component_New_Node,Reporting,New-Node_pkpyvsiurf,,459439702
Move_Operation_Component,getTransactionContext,Reporting,,250476265
UMLCloneNode,CashBox,CashBox_wyhvbhucic,,383794954
UMLCloneNode,BarCodeScanner,BarCodeScanner_itxnohxvxv,,351307469
UMLCloneNode,CashDeskPC,CashDeskPC_lfuwwopyml,,356211594
Move_Operation_New_Component_New_Node,stopSale,New-Component_zvogexbpyj,New-Node_aefzbcyghe,546650437
Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_zoddbawxzk,New-Node_ryuigwugiv,593673156
Move_Component_New_Node,CashDeskApplication,New-Node_ebxnvktduu,,391715686
UMLCloneNode,EnterpriseClient,EnterpriseClient_dbcsvorfvx,,329791455
UMLCloneNode,CashDeskPC,CashDeskPC_ewaesvsvtn,,326851032
Move_Operation_Component,enterOrderID,CashBoxController,,289737222
UMLCloneNode,BarCodeScanner,BarCodeScanner_itukzufngm,,335661482
Move_Component_New_Node,PrinterController,New-Node_gbhubkoguf,,406333245
UMLCloneNode,StoreServer,StoreServer_txjfdgubgl,,311719750
UMLCloneNode,New-Node_hguzsynpxg,New-Node_hguzsynpxg_lqqsepdppw,,230913384
UMLCloneNode,CashBox,CashBox_mxygerocud,,402945362
Move_Component_New_Node,PrinterController,New-Node_mnzbneptau,,464371098
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_dgsyunoyqe,New-Node_jgdlcubhut,632438653
UMLCloneNode,Printer,Printer_yxqhlxdqqd,,368650889
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rmbotqpzms,New-Node_yosobbgyji,642286579
Move_Operation_Component,queryOrderById,AppStore,,231803673
UMLCloneNode,CashBox,CashBox_lsviaaqgtc,,300044097
Move_Component_New_Node,GUIReporting,New-Node_ucxgjtzpik,,386425166
Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_mieuswnpjk,New-Node_wojixhuawt,481115736
Move_Component_New_Node,Persistence,New-Node_ytrdzkspdd,,442080091
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yfcuqznkjt,New-Node_bdadsufofd,593328580
Move_Operation_Component,queryStockItem,CashDeskApplication,,302100192
Move_Operation_New_Component_New_Node,getTransaction,New-Component_iuhwveeoal,New-Node_sxvxfemzoh,553051339
UMLCloneNode,EnterpriseServer,EnterpriseServer_dhfnezimly,,393557590
Move_Component_New_Node,ScannerController,New-Node_oosoyktype,,347464453
Move_Operation_Component,startSale,CashDeskApplication,,204777167
UMLCloneNode,BarCodeScanner,BarCodeScanner_ndorfnuenn,,361971113
Move_Component_New_Node,Reporting,New-Node_pkpyvsiurf,,552623026
Move_Operation_Component,getTransactionContext,Reporting,,226075673
UMLCloneNode,CashBox,CashBox_wyhvbhucic,,428989386
UMLCloneNode,BarCodeScanner,BarCodeScanner_itxnohxvxv,,372074498
Move_Component_New_Node,PrinterController,New-Node_mnzbneptau,,369861729
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_dgsyunoyqe,New-Node_jgdlcubhut,577004502
UMLCloneNode,Printer,Printer_yxqhlxdqqd,,404940413
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rmbotqpzms,New-Node_yosobbgyji,663732170
UMLCloneNode,EnterpriseServer,EnterpriseServer_dhfnezimly,,384275044
Move_Component_New_Node,ScannerController,New-Node_oosoyktype,,532445702
Move_Operation_Component,startSale,CashDeskApplication,,296200701
UMLCloneNode,BarCodeScanner,BarCodeScanner_ndorfnuenn,,498191363
Move_Component_New_Node,PrinterController,New-Node_mnzbneptau,,485977952
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_dgsyunoyqe,New-Node_jgdlcubhut,658604706
UMLCloneNode,Printer,Printer_yxqhlxdqqd,,473762137
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rmbotqpzms,New-Node_yosobbgyji,635130140
UMLCloneNode,LightDisplay,LightDisplay_ybrcismcos,,457692906
Move_Component_New_Node,GUIReporting,New-Node_lxrwijxmjy,,454052200
Move_Operation_Component,stopSale,Enterprise,,276528635
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_vnjwppopxq,New-Node_axbemxduoq,600893525
