operation,target,to,where,exec_time(nanoSec)
Move_Component_New_Node,Enterprise,New-Node_yohtuddstq,,3338530999
UMLCloneNode,BarCodeScanner,BarCodeScanner_dwwxuymphx,,1321314810
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_cfdbrnssgj,New-Node_veacuyskum,1272828236
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_bxqlaaobrf,New-Node_cucwbqjevz,1027045811
Move_Operation_Component,startSale,Persistence,,462915169
Move_Operation_New_Component_New_Node,scanProduct,New-Component_xlnhwheixu,New-Node_fwcorqxrkv,969501913
UMLCloneNode,New-Node_fwcorqxrkv,New-Node_fwcorqxrkv_zuksofzfuj,,587620988
Move_Component_New_Node,New-Component_xlnhwheixu,New-Node_xxpukhxcna,,624085622
Move_Operation_Component,getEnterpriseByID,DataStore,,258835960
Move_Component_New_Node,DataStore,New-Node_wghpvqriry,,431776382
UMLCloneNode,CashBox,CashBox_cgoacmvljb,,361869503
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cvxnrdsdnp,New-Node_ztxxmhfqcn,521524153
Move_Component_New_Node,GUIReporting,New-Node_hmaurcsish,,415822167
Move_Operation_Component,getMeanTimeToDelivery,Persistence,,198539932
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_vxqezjlhom,New-Node_ponqctfcfx,637100936
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_juslkcofhb,New-Node_yiasrjjzlz,471307916
Move_Component_New_Node,Inventory,New-Node_hnriotxate,,399604478
Move_Operation_Component,scanProduct,CashDeskApplication,,210327644
UMLCloneNode,CashBox,CashBox_csjkeylcfs,,425282445
UMLCloneNode,LightDisplay,LightDisplay_dnfkgijnec,,405386881
Move_Operation_New_Component_New_Node,getTransaction,New-Component_kzfnmurypr,New-Node_sppidpueiq,550087131
Move_Operation_Component,getEnterpriseByID,DataStore,,199648971
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_oieekblleu,New-Node_yxryyatwyj,508795357
Move_Component_New_Node,ScannerController,New-Node_npbshpcjrf,,422589767
Move_Operation_Component,queryStockItem,Inventory,,225408171
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_ytkldusrxk,New-Node_pbcckuuvcv,459966870
Move_Component_New_Node,Persistence,New-Node_tfirqbgfez,,427102629
UMLCloneNode,CashBox,CashBox_hzmndhhpxi,,311172704
Move_Component_New_Node,GUIReporting,New-Node_rivleoxmzy,,450022905
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_maojoqgsrh,New-Node_cudwpadxug,600847628
UMLCloneNode,CashDeskPC,CashDeskPC_ripudqlpny,,396334426
Move_Operation_Component,queryStockItem,New-Component_maojoqgsrh,,210501190
Move_Operation_Component,getMeanTimeToDelivery,Inventory,,245092160
UMLCloneNode,CashBox,CashBox_mktwqaihsp,,402874759
Move_Component_New_Node,DataStore,New-Node_dcwnvnwwpp,,513552075
Move_Operation_New_Component_New_Node,startSale,New-Component_xqhkwllkhq,New-Node_cdrvywoeqq,540102789
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_eflnuqfbbt,New-Node_pqrgmpfsfi,501069119
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_bfzurksyob,New-Node_yrrboqzukx,480504399
UMLCloneNode,CashBox,CashBox_ltrqhlaloo,,417741686
UMLCloneNode,LightDisplay,LightDisplay_vdrvluphaz,,426256171
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_jwetdlmszv,New-Node_udjslcmfxj,541781217
Move_Operation_New_Component_New_Node,getTransaction,New-Component_ibchqdajfe,New-Node_atjzcmnbfh,621680422
Move_Operation_New_Component_New_Node,getTransaction,New-Component_xtdvgrfgeh,New-Node_fuijyfxzlr,431490185
Move_Operation_Component,queryStockItem,Inventory,,192529322
UMLCloneNode,EnterpriseClient,EnterpriseClient_yfbeugqehk,,429685842
Move_Operation_Component,getProductWithStockItem,CashDeskGUI,,221915632
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_njprkssbgr,New-Node_hfqvswascz,452718890
Move_Operation_New_Component_New_Node,createReport,New-Component_uignoyhwtc,New-Node_tjgjgpqalh,476868361
Move_Component_New_Node,DataStore,New-Node_bhyxtnimnl,,418298690
Move_Operation_Component,printRunningTotal,ScannerController,,213965826
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_alglisnnvo,New-Node_wccmvvxrsf,533877627
UMLCloneNode,Printer,Printer_oevzpfixku,,322439129
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_nxkocptxmw,New-Node_ivrgekpgbl,648939583
UMLCloneNode,Printer,Printer_jtopcgzrjz,,417219106
Move_Operation_Component,createReport,AppStore,,181616610
Move_Component_New_Node,ScannerController,New-Node_smuovbblou,,379159262
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_hbqubbgioc,New-Node_djatkbxawi,542263801
Move_Component_New_Node,DataStore,New-Node_wwxpfybnll,,426052169
Move_Operation_Component,rollInReceivedOrder,CashDeskApplication,,245176248
UMLCloneNode,Printer,Printer_ckpctkaupt,,365973067
Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuixilhnwf,New-Node_awihxouwpw,492743950
UMLCloneNode,EnterpriseServer,EnterpriseServer_evxfhayohn,,328981276
Move_Operation_New_Component_New_Node,getTransaction,New-Component_hwwwoxsjxl,New-Node_ciwcvljwqr,585183979
Move_Component_New_Node,Inventory,New-Node_elkpeazkiy,,406112581
Move_Component_New_Node,Enterprise,New-Node_yohtuddstq,,440465875
UMLCloneNode,BarCodeScanner,BarCodeScanner_dwwxuymphx,,412684063
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_cfdbrnssgj,New-Node_veacuyskum,775530939
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_bxqlaaobrf,New-Node_cucwbqjevz,579790225
Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuixilhnwf,New-Node_awihxouwpw,628247946
UMLCloneNode,EnterpriseServer,EnterpriseServer_evxfhayohn,,398803897
Move_Operation_New_Component_New_Node,getTransaction,New-Component_hwwwoxsjxl,New-Node_ciwcvljwqr,504803191
Move_Component_New_Node,Inventory,New-Node_elkpeazkiy,,508101625
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_nxkocptxmw,New-Node_ivrgekpgbl,666529275
UMLCloneNode,Printer,Printer_jtopcgzrjz,,359489240
Move_Operation_Component,createReport,AppStore,,273833371
Move_Component_New_Node,ScannerController,New-Node_smuovbblou,,489886151
