solID,operation,target,to,where
8,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
8,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
8,Move_Operation_Component,queryStockItem,Persistence,
8,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
11,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_etgxuetdsl,New-Node_xizesulolx
11,Move_Operation_Component,getTransactionContext,CashDeskApplication,
11,Move_Component_New_Node,GUIReporting,New-Node_ngtrnzdhnt,
11,UMLCloneNode,New-Node_xizesulolx,New-Node_xizesulolx_xziukagxmi,
13,Move_Component_New_Node,ScannerController,New-Node_afkfolagnz,
13,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
13,UMLCloneNode,EnterpriseServer,EnterpriseServer_koaqphmnqh,
13,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cmktslpofu,New-Node_nkkdnjvhan
49,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_etgxuetdsl,New-Node_xizesulolx
49,Move_Operation_Component,getTransactionContext,CashDeskApplication,
49,Move_Component_New_Node,GUIReporting,New-Node_ngtrnzdhnt,
49,UMLCloneNode,New-Node_xizesulolx,New-Node_xizesulolx_xziukagxmi,
56,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
56,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
56,Move_Operation_Component,queryStockItem,Persistence,
56,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
66,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
66,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
66,Move_Operation_Component,queryStockItem,Persistence,
66,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
67,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_etgxuetdsl,New-Node_xizesulolx
67,Move_Operation_Component,getTransactionContext,CashDeskApplication,
67,Move_Component_New_Node,GUIReporting,New-Node_ngtrnzdhnt,
67,UMLCloneNode,New-Node_xizesulolx,New-Node_xizesulolx_xziukagxmi,
80,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
80,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
80,Move_Operation_Component,queryStockItem,Persistence,
80,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
84,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
84,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
84,Move_Operation_Component,queryStockItem,Persistence,
84,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
90,Move_Component_New_Node,ScannerController,New-Node_afkfolagnz,
90,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
90,UMLCloneNode,EnterpriseServer,EnterpriseServer_koaqphmnqh,
90,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cmktslpofu,New-Node_nkkdnjvhan
163,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwyuufbpby,New-Node_pdvsytugdb
163,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
163,Move_Operation_Component,queryStockItem,Persistence,
163,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
167,UMLCloneNode,New-Node_pmzhutxyii,New-Node_pmzhutxyii_ewzxxgofgr,
167,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
167,Move_Operation_Component,queryStockItem,Persistence,
167,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
170,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_qwhtedxigu,New-Node_vrnhzuoodf
170,Move_Operation_Component,printRunningTotal,ScannerController,
170,Move_Operation_New_Component_New_Node,startSale,New-Component_nlmnevgyln,New-Node_ptqrqsnfid
170,Move_Component_New_Node,DataStore,New-Node_ulfndbnytp,
171,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_etgxuetdsl,New-Node_xizesulolx
171,Move_Operation_Component,getTransactionContext,CashDeskApplication,
171,Move_Component_New_Node,GUIReporting,New-Node_ngtrnzdhnt,
171,UMLCloneNode,New-Node_xizesulolx,New-Node_xizesulolx_xziukagxmi,
175,UMLCloneNode,New-Node_pmzhutxyii,New-Node_pmzhutxyii_ewzxxgofgr,
175,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_qgbxsdezge,New-Node_fiuisqjeme
175,Move_Operation_Component,queryStockItem,Persistence,
175,Move_Component_New_Node,Inventory,New-Node_llwgaxqvel,
190,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yoxatgiwmc,New-Node_eghghycoqi
190,Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,
190,UMLCloneNode,EnterpriseServer,EnterpriseServer_koaqphmnqh,
190,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_cmktslpofu,New-Node_nkkdnjvhan
