solID,perfQ,#changes,pas,reliability
31,-0.24415153597496445,9.149999999999999,14.0,-0.775343874446035
50,-0.12108231729319043,4.54,11.0,-0.8214150367107389
166,-0.13769111635070588,4.35,12.0,-0.8933876404482743
181,-0.12108231729319043,4.54,11.0,-0.8214150367107389
204,-0.11867640505610806,4.35,11.0,-0.8463019152627668
230,-0.24415153597496445,9.149999999999999,14.0,-0.775343874446035
233,-0.10885807081829964,2.9,12.0,-0.8208684818535942
237,-0.11867640505610806,4.35,11.0,-0.8463019152627668
240,-0.24415153597496445,9.149999999999999,14.0,-0.775343874446035
241,-0.13769111635070588,4.35,12.0,-0.8933876404482743
