solID,operation,target,to,where
0,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_ftshjuhsil,New-Node_hdfiqjncho
0,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_riekaapemm,New-Node_fetsyvxpam
0,Move_Operation_Component,getEnterpriseByID,Reporting,
0,Move_Component_New_Node,Reporting,New-Node_unmrksbsgd,
3,Move_Component_New_Node,GUIReporting,New-Node_tulyfanawi,
3,UMLCloneNode,LightDisplay,LightDisplay_nclwrkymhy,
3,UMLCloneNode,EnterpriseServer,EnterpriseServer_xdrhdytlfs,
3,Move_Operation_New_Component_New_Node,getTransaction,New-Component_zwmztqimve,New-Node_vcsvdfvrjy
11,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vvsqvdzpty,New-Node_wahhgpxfdm
11,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_lrobqrdygv,New-Node_tbmsulvecd
11,UMLCloneNode,CashDeskPC,CashDeskPC_onrxmagder,
11,Move_Operation_Component,getMeanTimeToDelivery,New-Component_vvsqvdzpty,
14,Move_Operation_Component,saleStartedEvent,Persistence,
14,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_cbteqkhnur,New-Node_uveukpycjj
14,Move_Operation_New_Component_New_Node,stopSale,New-Component_dfbtcxizgd,New-Node_pgsjdvdufa
14,UMLCloneNode,CashBox,CashBox_xkhkcqmitg,
18,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vvsqvdzpty,New-Node_wahhgpxfdm
18,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_lrobqrdygv,New-Node_tbmsulvecd
18,UMLCloneNode,CashDeskPC,CashDeskPC_onrxmagder,
18,Move_Operation_Component,getMeanTimeToDelivery,New-Component_vvsqvdzpty,
26,Move_Operation_Component,saleStartedEvent,Persistence,
26,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_cbteqkhnur,New-Node_uveukpycjj
26,Move_Operation_New_Component_New_Node,stopSale,New-Component_dfbtcxizgd,New-Node_pgsjdvdufa
26,UMLCloneNode,CashBox,CashBox_xkhkcqmitg,
27,UMLCloneNode,EnterpriseServer,EnterpriseServer_gytudcxqyu,
27,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_riekaapemm,New-Node_fetsyvxpam
27,Move_Operation_Component,getEnterpriseByID,Reporting,
27,Move_Component_New_Node,Reporting,New-Node_unmrksbsgd,
30,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vvsqvdzpty,New-Node_wahhgpxfdm
30,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_lrobqrdygv,New-Node_tbmsulvecd
30,UMLCloneNode,CashDeskPC,CashDeskPC_onrxmagder,
30,Move_Operation_Component,getMeanTimeToDelivery,New-Component_vvsqvdzpty,
34,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vvsqvdzpty,New-Node_wahhgpxfdm
34,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_lrobqrdygv,New-Node_tbmsulvecd
34,UMLCloneNode,CashDeskPC,CashDeskPC_onrxmagder,
34,Move_Operation_Component,getMeanTimeToDelivery,New-Component_vvsqvdzpty,
35,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_vvsqvdzpty,New-Node_wahhgpxfdm
35,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_lrobqrdygv,New-Node_tbmsulvecd
35,UMLCloneNode,CashDeskPC,CashDeskPC_onrxmagder,
35,Move_Operation_Component,getMeanTimeToDelivery,New-Component_vvsqvdzpty,
38,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_ftshjuhsil,New-Node_hdfiqjncho
38,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_riekaapemm,New-Node_fetsyvxpam
38,Move_Operation_Component,getEnterpriseByID,Reporting,
38,Move_Component_New_Node,Reporting,New-Node_unmrksbsgd,
22,Move_Operation_Component,getMeanTimeToDelivery,AppStore,
22,Move_Component_New_Node,GUIStore,New-Node_iuddipofff,
22,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_iislasyxzj,New-Node_oatsxupdhb
22,UMLCloneNode,New-Node_oatsxupdhb,New-Node_oatsxupdhb_tdionktbni,
45,Move_Operation_Component,saleStartedEvent,Persistence,
45,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_cbteqkhnur,New-Node_uveukpycjj
