solID,operation,target,to,where
0,Move_Component_New_Node,Enterprise,New-Node_afoocwttqm,
0,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ewzppssnou,New-Node_mlfcrgwlcv
0,Move_Operation_Component,productBarCodeScannedEvent,Reporting,
0,UMLCloneNode,EnterpriseServer,EnterpriseServer_eopnlmrzmp,
5,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
5,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
5,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
5,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
6,UMLCloneNode,EnterpriseServer,EnterpriseServer_uqqipgbvjb,
6,Move_Operation_Component,enterOrderID,AppStore,
6,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lenggxxpfy,New-Node_pzwivvgqki
6,UMLCloneNode,StoreServer,StoreServer_gojtwoioyj,
12,UMLCloneNode,EnterpriseServer,EnterpriseServer_okehrmubxg,
12,Move_Operation_Component,saleStartedEvent,Reporting,
12,Move_Operation_New_Component_New_Node,startSale,New-Component_roaqmawfit,New-Node_btlxpygcqm
12,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_fhmhjrthav,New-Node_tdvqtcdhfn
16,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
16,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
16,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
16,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
23,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
23,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
23,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
23,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
30,UMLCloneNode,EnterpriseServer,EnterpriseServer_uqqipgbvjb,
30,Move_Operation_Component,enterOrderID,AppStore,
30,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lenggxxpfy,New-Node_pzwivvgqki
30,UMLCloneNode,StoreServer,StoreServer_gojtwoioyj,
31,UMLCloneNode,EnterpriseClient,EnterpriseClient_phwgqqqumc,
31,Move_Operation_Component,enterOrderID,AppStore,
31,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lenggxxpfy,New-Node_pzwivvgqki
31,UMLCloneNode,StoreServer,StoreServer_gojtwoioyj,
41,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
41,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
41,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
41,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
45,Move_Component_New_Node,Enterprise,New-Node_afoocwttqm,
45,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ewzppssnou,New-Node_mlfcrgwlcv
45,Move_Operation_Component,productBarCodeScannedEvent,Reporting,
45,UMLCloneNode,EnterpriseServer,EnterpriseServer_eopnlmrzmp,
48,Move_Component_New_Node,Enterprise,New-Node_afoocwttqm,
48,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ewzppssnou,New-Node_mlfcrgwlcv
48,Move_Operation_Component,productBarCodeScannedEvent,Reporting,
48,UMLCloneNode,EnterpriseServer,EnterpriseServer_eopnlmrzmp,
50,UMLCloneNode,EnterpriseServer,EnterpriseServer_okehrmubxg,
50,Move_Operation_Component,saleStartedEvent,Reporting,
50,Move_Operation_New_Component_New_Node,startSale,New-Component_roaqmawfit,New-Node_btlxpygcqm
50,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_fhmhjrthav,New-Node_tdvqtcdhfn
51,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
51,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
51,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
51,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
54,UMLCloneNode,EnterpriseServer,EnterpriseServer_uqqipgbvjb,
54,Move_Operation_Component,enterOrderID,AppStore,
54,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lenggxxpfy,New-Node_pzwivvgqki
54,UMLCloneNode,StoreServer,StoreServer_gojtwoioyj,
68,UMLCloneNode,EnterpriseServer,EnterpriseServer_uqqipgbvjb,
68,Move_Operation_Component,enterOrderID,AppStore,
68,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lenggxxpfy,New-Node_pzwivvgqki
68,UMLCloneNode,StoreServer,StoreServer_gojtwoioyj,
69,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_ycqsdzsqbj,New-Node_szjwlmphgb
69,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_esxqivdzvq,New-Node_xedmhcgkxk
69,Move_Component_New_Node,Reporting,New-Node_dympnzvdxk,
69,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_yhwegqjabg,New-Node_wgsvxskujg
