solID,operation,target,to,where
0,Move_Component_New_Node,AppStore,New-Node_jibssuissp,
0,Move_Operation_Component,stopSale,GUIStore,
0,UMLCloneNode,Printer,Printer_belhylorbj,
0,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_czpqxwvauy,New-Node_bddkymlcqz
1,UMLCloneNode,Printer,Printer_xmeukenqie,
1,UMLCloneNode,Printer_xmeukenqie,Printer_xmeukenqie_wxbzwxfoku,
1,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_myjaqcrkuk,New-Node_zvbiszxmlf
1,Move_Component_New_Node,Enterprise,New-Node_rfdsqzhvis,
2,Move_Operation_Component,queryStockItem,GUIReporting,
2,Move_Component_New_Node,CashDeskGUI,New-Node_oozaukmgbv,
2,UMLCloneNode,New-Node_hqhhgdoeov,New-Node_hqhhgdoeov_itgfgvtqbq,
2,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_nybdhzgpzv,New-Node_iipzwyjhur
3,Move_Operation_Component,saleStartedEvent,Inventory,
3,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_crkmsixtjq,New-Node_cmhtwuezxf
3,Move_Component_New_Node,New-Component_crkmsixtjq,New-Node_pahphbgqnx,
3,UMLCloneNode,LightDisplay,LightDisplay_axwfohwvkr,
4,Move_Component_New_Node,AppStore,New-Node_jbefbxabwl,
4,Move_Operation_Component,getTransaction,CashDeskGUI,
4,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_ptjinzpowd,New-Node_fvvjqeihee
4,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_mwxwmlgrwn,New-Node_nvtzolhrea
5,Move_Operation_New_Component_New_Node,stopSale,New-Component_zxrisumdnc,New-Node_ahrlijpdjr
5,Move_Operation_New_Component_New_Node,stopSale,New-Component_jscogruqmp,New-Node_xtfhkdzfrk
5,Move_Component_New_Node,GUIReporting,New-Node_vlltntrqto,
5,UMLCloneNode,New-Node_xtfhkdzfrk,New-Node_xtfhkdzfrk_qmnrgrdymf,
6,Move_Component_New_Node,DataStore,New-Node_qlamgwmpvp,
6,UMLCloneNode,CashDeskPC,CashDeskPC_bpxolusped,
6,Move_Operation_Component,createReport,Inventory,
6,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_cuorugktsz,New-Node_trfzygghvg
7,Move_Component_New_Node,CashBoxController,New-Node_qhaxujthzp,
7,Move_Operation_New_Component_New_Node,stopSale,New-Component_yahxxoubzx,New-Node_jvyyrjgsuu
7,UMLCloneNode,CashBox,CashBox_qrcfznvqpj,
7,Move_Operation_Component,enterOrderID,AppStore,
8,Move_Operation_Component,getTransactionContext,CashBoxController,
8,UMLCloneNode,CashBox,CashBox_mwqdzjibgs,
8,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_suglxeoaty,New-Node_xcfalewhff
8,Move_Component_New_Node,Persistence,New-Node_dndgdlrovc,
9,Move_Component_New_Node,CashBoxController,New-Node_wwsrcpsfjx,
9,UMLCloneNode,StoreServer,StoreServer_ciubffdujd,
9,Move_Operation_Component,queryOrderById,CashBoxController,
9,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_hednjjsfvg,New-Node_frzkbvbtrq
10,UMLCloneNode,BarCodeScanner,BarCodeScanner_ofucamznqg,
10,Move_Operation_Component,getMeanTimeToDelivery,DataStore,
10,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_nryrwimpic,New-Node_fsxgfqamns
10,UMLCloneNode,CashDeskPC,CashDeskPC_yymocnslbh,
11,UMLCloneNode,BarCodeScanner,BarCodeScanner_vjltcbybxz,
11,Move_Operation_Component,printRunningTotal,CashBoxController,
11,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_aszawilbnq,New-Node_rwokbuwmvc
11,UMLCloneNode,New-Node_rwokbuwmvc,New-Node_rwokbuwmvc_cmfmusnivf,
12,UMLCloneNode,EnterpriseClient,EnterpriseClient_qsuzrjnzqt,
12,Move_Component_New_Node,CashDeskApplication,New-Node_nbwvpjixic,
12,Move_Operation_Component,queryOrderById,Persistence,
12,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_uiniwirtzl,New-Node_oonvvgrjkn
13,Move_Operation_Component,getEnterpriseByID,GUIReporting,
13,UMLCloneNode,BarCodeScanner,BarCodeScanner_lffqszznev,
13,Move_Component_New_Node,AppStore,New-Node_caihhvrnes,
13,UMLCloneNode,CashDeskPC,CashDeskPC_hovwdgtcrh,
14,Move_Operation_Component,startSale,AppStore,
14,UMLCloneNode,Printer,Printer_buyeezwvvd,
14,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_npaqzysdid,New-Node_ntlfezedrh
14,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_lqpvtuqkqw,New-Node_nprfaoidhx
15,Move_Operation_Component,getTransaction,Inventory,
15,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_vxonyrxktp,New-Node_srtbndybrv
15,UMLCloneNode,CashBox,CashBox_dkxfbkcqho,
15,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uqrmlthfmh,New-Node_nzwesjqczy
