solID,perfQ,#changes,pas,reliability
1,-0.19681303002089776,8.17,12.0,-0.7429699783840655
5,-0.18146434529511923,15.2,7.0,-0.8770654479411378
9,-0.13321664907794334,8.14,12.0,-0.7692577779169848
13,-0.25055626641524403,16.21,8.0,-0.7751514206396038
15,-0.22210447944092954,12.93,6.0,-0.7554497507242561
24,-0.22210447944092954,12.93,6.0,-0.7554497507242561
29,-0.2443609935669551,8.01,14.0,-0.7452374661550918
34,-0.30345501447211515,15.17,5.0,-0.7517072702807336
35,-0.04476749910606697,5.99,12.0,-0.6820253290177575
43,-0.1353284360648604,11.729999999999999,5.0,-0.7518982372503795
47,-0.18146434529511923,15.2,7.0,-0.8770654479411378
50,-0.19664987915790982,8.17,12.0,-0.7728079654760268
51,-0.25055626641524403,16.21,8.0,-0.7751514206396038
55,-0.13321664907794334,8.14,12.0,-0.7692577779169848
76,-0.1317895556948566,7.3500000000000005,12.0,-0.05403263635570155
77,-0.1317895556948566,7.3500000000000005,12.0,-0.05403263635570155
