operation,target,to,where,exec_time(nanoSec)
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_yqegmkfmdi,New-Node_znhxbfgqdc,2941020367
Move_Component_New_Node,CashBoxController,New-Node_ipvjfojagi,,844471485
Move_Operation_Component,getEnterpriseByID,Persistence,,671011629
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_jgveziuver,New-Node_twehtwizwi,1551770135
Move_Operation_Component,enterOrderID,AppStore,,561866747
UMLCloneNode,StoreServer,StoreServer_bdunnlklrj,,743996931
Move_Component_New_Node,GUIReporting,New-Node_xdfdzulbwg,,730229627
UMLCloneNode,New-Node_xdfdzulbwg,New-Node_xdfdzulbwg_olspxfwdgh,,559266292
UMLCloneNode,StoreServer,StoreServer_rngbrgbtni,,443631681
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_gdtxqtfrqo,New-Node_ebpsvigfne,679706362
Move_Operation_New_Component_New_Node,scanProduct,New-Component_jogtsiksnx,New-Node_uuibnrffaf,604912701
Move_Operation_Component,enterOrderID,New-Component_gdtxqtfrqo,,306687013
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jztlwquvtw,New-Node_xiqxjeirib,614483016
Move_Component_New_Node,GUIStore,New-Node_euqatewujr,,548361325
Move_Operation_Component,getTransactionContext,CashBoxController,,229243232
UMLCloneNode,New-Node_dcahghmsxf,New-Node_dcahghmsxf_qcebstimwn,,188912470
UMLCloneNode,EnterpriseServer,EnterpriseServer_yitecgflin,,468423206
Move_Component_New_Node,CashDeskGUI,New-Node_wyouzfkwev,,503464450
Move_Operation_Component,scanProduct,Persistence,,340773367
UMLCloneNode,New-Node_wyouzfkwev,New-Node_wyouzfkwev_rujgfqfovo,,427988690
Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_fjltktcpfs,New-Node_iwqzvgrmyp,597839088
Move_Operation_Component,createReport,DataStore,,351769685
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_rfondqufpk,New-Node_nxdbzjlgxl,695250218
Move_Component_New_Node,Persistence,New-Node_vkvudczqij,,528399675
Move_Operation_Component,getTransactionContext,DataStore,,342450171
Move_Component_New_Node,Enterprise,New-Node_mvclviumia,,458494129
Move_Operation_New_Component_New_Node,createReport,New-Component_wimcfgkndm,New-Node_xubcifbakl,551978426
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_dgodtlxifr,New-Node_eyuqppwdgo,628197321
Move_Component_New_Node,Enterprise,New-Node_gmlelragbz,,412961673
Move_Operation_New_Component_New_Node,scanProduct,New-Component_ptxnaqrpiw,New-Node_pgmypfoeqt,524978511
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_lyfaxlnetx,New-Node_pbswanalgx,566568484
UMLCloneNode,EnterpriseServer,EnterpriseServer_upvwjkknoo,,386187240
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_jabxtjxufn,New-Node_xpvyqfarql,546906797
Move_Operation_Component,getMeanTimeToDelivery,DataStore,,216135725
UMLCloneNode,LightDisplay,LightDisplay_ayqzhhungg,,385040470
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_kpyzivhhzz,New-Node_cfrkvgnlwe,591928365
Move_Operation_Component,getTransaction,Inventory,,278552429
UMLCloneNode,StoreServer,StoreServer_opnuqpdgbq,,410590658
UMLCloneNode,StoreServer_opnuqpdgbq,StoreServer_opnuqpdgbq_fybtdabkiw,,387512455
Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_sqxusmfxad,New-Node_gfxbplsoxo,524038678
Move_Operation_Component,saleStartedEvent,Enterprise,,240172005
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_oicnjjjngq,New-Node_aukvrczesm,597816766
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_pymyzsfdql,New-Node_asgilytdym,480874594
UMLCloneNode,EnterpriseClient,EnterpriseClient_hkeasnlgjr,,335933853
UMLCloneNode,EnterpriseServer,EnterpriseServer_fkbynkslzg,,404686827
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_beydlwtono,New-Node_nfthymiagh,587828317
Move_Operation_Component,rollInReceivedOrder,Persistence,,263163304
UMLCloneNode,LightDisplay,LightDisplay_ufpfkqmsrv,,406421590
Move_Component_New_Node,CashBoxController,New-Node_knkpmcgqjp,,515213691
UMLCloneNode,StoreServer,StoreServer_zghucygied,,400867947
UMLCloneNode,New-Node_knkpmcgqjp,New-Node_knkpmcgqjp_gdgfquqorx,,463764952
UMLCloneNode,New-Node_kijnftcfue,New-Node_kijnftcfue_pvljdppbma,,233581406
UMLCloneNode,CashDeskPC,CashDeskPC_ervdmvbhin,,403010214
Move_Operation_Component,rollInReceivedOrder,ScannerController,,245366745
UMLCloneNode,CashDeskPC,CashDeskPC_qfexaphcmk,,332317442
UMLCloneNode,Printer,Printer_hvlvvljyun,,306229886
Move_Component_New_Node,CashBoxController,New-Node_gfaxyozuaz,,383844588
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_ejztggcpan,New-Node_crxpesdppk,437497199
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xlacoadkec,New-Node_vaorwapzap,494081297
Move_Operation_New_Component_New_Node,createReport,New-Component_fbygytpmhm,New-Node_mmkbmdblmt,495770293
Move_Operation_New_Component_New_Node,startSale,New-Component_rxrcuvcgdd,New-Node_byhdahxatu,580108502
UMLCloneNode,New-Node_byhdahxatu,New-Node_byhdahxatu_ikadpksusq,,392150972
UMLCloneNode,CashDeskPC,CashDeskPC_zsomiplarp,,358486189
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_qwybzzgavx,New-Node_whaptrtiwb,544909492
UMLCloneNode,CashDeskPC,CashDeskPC_ervdmvbhin,,386542767
Move_Operation_Component,rollInReceivedOrder,ScannerController,,224954261
UMLCloneNode,CashDeskPC,CashDeskPC_qfexaphcmk,,376667029
UMLCloneNode,Printer,Printer_hvlvvljyun,,369050117
UMLCloneNode,EnterpriseServer,EnterpriseServer_fkbynkslzg,,325449012
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_beydlwtono,New-Node_nfthymiagh,509431068
Move_Operation_Component,rollInReceivedOrder,Persistence,,245893703
UMLCloneNode,LightDisplay,LightDisplay_ufpfkqmsrv,,356050141
Move_Component_New_Node,CashBoxController,New-Node_gfaxyozuaz,,385918356
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_ejztggcpan,New-Node_crxpesdppk,511595196
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xlacoadkec,New-Node_vaorwapzap,514210350
