operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,Printer,Printer_tlenlrlzbq,,1907677199
Move_Operation_Component,printRunningTotal,Persistence,,914607264
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_wcuqfyngmp,New-Node_kjnkkgkqzu,1164125172
UMLCloneNode,New-Node_kjnkkgkqzu,New-Node_kjnkkgkqzu_avqclcwpqe,,887606556
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_egccuhdlru,New-Node_nfvycsrrqt,1064668916
UMLCloneNode,New-Node_nfvycsrrqt,New-Node_nfvycsrrqt_dyupscamvt,,790750196
Move_Component_New_Node,PrinterController,New-Node_qcbalxkrgg,,688807989
Move_Operation_Component,queryStockItem,CashBoxController,,376807232
Move_Component_New_Node,DataStore,New-Node_tekiaswvzw,,532268019
UMLCloneNode,EnterpriseClient,EnterpriseClient_wvpdtnajhj,,412863128
UMLCloneNode,StoreServer,StoreServer_vrstlxfvdy,,422236354
Move_Operation_Component,saleStartedEvent,GUIReporting,,251813703
Move_Component_New_Node,PrinterController,New-Node_dxktxvksmr,,400449693
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,375870576
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,358136133
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,398205445
UMLCloneNode,CashDeskPC,CashDeskPC_fvmhbsywno,,412216566
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_quwjsozpyj,New-Node_yyavwnikmx,539570892
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_qmdibrjiju,New-Node_xrwftglgvq,524317441
Move_Component_New_Node,CashBoxController,New-Node_eoeylsgxut,,442759045
Move_Operation_Component,createReport,AppStore,,225828570
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_kuartvotyz,New-Node_wkpucvzeop,480038455
Move_Component_New_Node,Reporting,New-Node_murgutetpk,,346959496
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_mhgeztcohf,New-Node_momhuxclzg,450793199
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_zjrobsazli,New-Node_cwaelzhcck,561726655
Move_Component_New_Node,PrinterController,New-Node_cuuscgqkra,,405213755
Move_Operation_New_Component_New_Node,startSale,New-Component_jktrpwwwae,New-Node_pqeyoeaugd,608628458
UMLCloneNode,LightDisplay,LightDisplay_asucmobmrk,,322783665
Move_Component_New_Node,PrinterController,New-Node_ogoumlaflg,,427994481
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_urdwgnoswm,New-Node_wcjmnnxhdu,481369472
Move_Operation_Component,getMeanTimeToDeliveryReport,GUIStore,,195849428
Move_Operation_New_Component_New_Node,createReport,New-Component_fxrdhzdjim,New-Node_mckjbtwvie,445680823
Move_Operation_Component,rollInReceivedOrder,GUIReporting,,232581011
Move_Component_New_Node,PrinterController,New-Node_rvxltgqqpr,,459751727
UMLCloneNode,CashDeskPC,CashDeskPC_kuqehoaswi,,351149743
Move_Operation_New_Component_New_Node,stopSale,New-Component_ovspjjsvne,New-Node_oevpjosmhr,546558103
Move_Operation_Component,enterOrderID,Reporting,,209224486
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_vxmuxcwmrq,New-Node_islflgiesl,473335747
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_faflkegboh,New-Node_lpxxykctip,564207938
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_dnjieoswlt,New-Node_beacierugr,522325977
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jrzilgwmks,New-Node_wmnzdqwrfx,486121131
UMLCloneNode,StoreServer,StoreServer_sygoerfzyz,,320659673
Move_Operation_Component,getEnterpriseByID,New-Component_jrzilgwmks,,235600733
Move_Operation_New_Component_New_Node,stopSale,New-Component_ajwgvtcfej,New-Node_vndvasnlch,548039991
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,306824211
Move_Operation_Component,printRunningTotal,ScannerController,,219552261
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,511997771
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,355916801
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_rvznwlsbgk,New-Node_qpmkwhuaxx,555559902
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_hjfhkhmwzs,New-Node_vvogjgcipa,545829577
UMLCloneNode,Printer,Printer_pvllkjytfc,,362592959
Move_Operation_Component,scanProduct,GUIStore,,275374621
Move_Component_New_Node,Inventory,New-Node_wcvuacbzdf,,462917363
UMLCloneNode,StoreServer,StoreServer_gvhxkyvbga,,396414506
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_plbysrfhio,New-Node_ytvibzgbcc,502874053
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_zxqyvgaoqq,New-Node_odtzkthbwc,488962779
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_oepybhbafe,New-Node_zgphuhrxvq,480129527
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uuleonebfn,New-Node_jmgzsyxqgx,472357464
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_iihvlxfpsp,New-Node_djyycoxpis,474843064
