solID,perfQ,#changes,pas,reliability
1,-0.08009384631944018,5.99,11.0,-0.8578446765010366
14,-0.3076698102359781,11.48,13.0,-0.7630365845965846
34,-0.08009384631944018,5.99,11.0,-0.8578446765010366
50,-0.08009384631944018,5.99,11.0,-0.8578446765010366
59,-0.3076698102359781,11.48,13.0,-0.7630365845965846
70,-0.08009384631944018,5.99,11.0,-0.8578446765010366
80,-0.27267733921996273,10.469999999999999,13.0,-0.8355557431912648
81,-0.08009384631944018,5.99,11.0,-0.8578446765010366
92,-0.3076698102359781,11.48,13.0,-0.7630365845965846
96,-0.08009384631944018,5.99,11.0,-0.8578446765010366
104,-0.3076698102359781,11.48,13.0,-0.7630365845965846
105,-0.08009384631944018,5.99,11.0,-0.8578446765010366
539,-0.08009384631944018,5.99,11.0,-0.8578446765010366
542,-0.3076698102359781,11.48,13.0,-0.7630365845965846
543,-0.27267733921996273,10.469999999999999,13.0,-0.8355557431912648
596,-0.3076698102359781,11.48,13.0,-0.7630365845965846
