solID,operation,target,to,where
14,UMLCloneNode,EnterpriseServer,EnterpriseServer_tcqnflqbaa,
14,Move_Operation_Component,queryStockItem,PrinterController,
14,Move_Component_New_Node,GUIStore,New-Node_wzyhtjpare,
14,Move_Operation_New_Component_New_Node,getTransaction,New-Component_avzdleduvo,New-Node_smaujpkikw
98,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_rwjovcjdwa,New-Node_letxglyoai
98,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
98,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
98,Move_Operation_Component,getEnterpriseByID,Inventory,
99,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
99,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
99,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
99,Move_Operation_Component,getEnterpriseByID,Inventory,
212,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_rwjovcjdwa,New-Node_letxglyoai
212,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
212,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
212,Move_Operation_Component,getEnterpriseByID,Inventory,
365,UMLCloneNode,EnterpriseClient_ofxbjioghh,EnterpriseClient_ofxbjioghh_nmphimcjjg,
365,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
365,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
365,Move_Operation_Component,getEnterpriseByID,Inventory,
368,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_rwjovcjdwa,New-Node_letxglyoai
368,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
368,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
368,Move_Operation_Component,getEnterpriseByID,Inventory,
369,UMLCloneNode,CashBox,CashBox_blyqgbappr,
369,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
369,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
369,Move_Operation_Component,getEnterpriseByID,Inventory,
370,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
370,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
370,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
370,Move_Operation_Component,getEnterpriseByID,Inventory,
375,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
375,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
375,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
375,Move_Operation_Component,getEnterpriseByID,Inventory,
378,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
378,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
378,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
378,Move_Operation_Component,getEnterpriseByID,Inventory,
383,UMLCloneNode,EnterpriseServer,EnterpriseServer_tcqnflqbaa,
383,Move_Operation_Component,queryStockItem,PrinterController,
383,Move_Component_New_Node,GUIStore,New-Node_wzyhtjpare,
383,Move_Operation_New_Component_New_Node,getTransaction,New-Component_avzdleduvo,New-Node_smaujpkikw
385,UMLCloneNode,CashBox,CashBox_blyqgbappr,
385,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
385,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
385,Move_Operation_Component,getEnterpriseByID,Inventory,
1170,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
1170,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
1170,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
1170,Move_Operation_Component,getEnterpriseByID,Inventory,
1174,UMLCloneNode,CashBox,CashBox_blyqgbappr,
1174,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
1174,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
1174,Move_Operation_Component,getEnterpriseByID,Inventory,
1187,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
1187,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
1187,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
1187,Move_Operation_Component,getEnterpriseByID,Inventory,
1302,Move_Component_New_Node,Inventory,New-Node_oijzmdusro,
1302,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_kaehgfzhaj,New-Node_emdohiohla
1302,UMLCloneNode,LightDisplay,LightDisplay_aznchgmtoh,
1302,Move_Operation_Component,getEnterpriseByID,Inventory,
