solID,operation,target,to,where
0,Move_Operation_Component,getTransactionContext,GUIStore,
0,Move_Operation_New_Component_New_Node,createReport,New-Component_clruhkfcyc,New-Node_ctjvszrqus
0,Move_Component_New_Node,Persistence,New-Node_rhvixesiot,
0,UMLCloneNode,New-Node_ctjvszrqus,New-Node_ctjvszrqus_wdrglviull,
1,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_mxltrdxwky,New-Node_ztmppabkef
1,Move_Component_New_Node,AppStore,New-Node_qwmwxabtpc,
1,Move_Operation_Component,productBarCodeScannedEvent,Persistence,
1,UMLCloneNode,CashBox,CashBox_ytocashinm,
2,Move_Operation_Component,queryOrderById,ScannerController,
2,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_pxlipalviv,New-Node_omuqauicva
2,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_qsbrniziqj,New-Node_yjswujvqsm
2,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_wnmoqktqfz,New-Node_zfdtdgulyl
3,Move_Operation_Component,printRunningTotal,Persistence,
3,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_egrfjioggg,New-Node_mwkvkhzwin
3,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_snesplgvdt,New-Node_urexwcessg
3,UMLCloneNode,BarCodeScanner,BarCodeScanner_wunlphyhxj,
4,UMLCloneNode,EnterpriseClient,EnterpriseClient_nhrwdffmbc,
4,Move_Operation_Component,enterOrderID,CashBoxController,
4,Move_Component_New_Node,GUIStore,New-Node_sulibzmqfc,
4,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_yyoskzblqw,New-Node_yercgitpsf
5,Move_Operation_Component,stopSale,Persistence,
5,Move_Component_New_Node,ScannerController,New-Node_qtwfvtcjxv,
5,UMLCloneNode,New-Node_qtwfvtcjxv,New-Node_qtwfvtcjxv_fztnvfenlk,
5,UMLCloneNode,New-Node_uctukjudxj,New-Node_uctukjudxj_qvfmufevav,
6,UMLCloneNode,CashBox,CashBox_tndtvkqwkn,
6,UMLCloneNode,LightDisplay,LightDisplay_jylrxtwtly,
6,Move_Component_New_Node,Reporting,New-Node_ftfovqdzor,
6,Move_Operation_New_Component_New_Node,createReport,New-Component_sqemvcjpvu,New-Node_jhqhiakslb
7,UMLCloneNode,EnterpriseClient,EnterpriseClient_dxppylfcxa,
7,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ylhycanebv,New-Node_ksmfsqntng
7,UMLCloneNode,CashDeskPC,CashDeskPC_gzqypuilcg,
7,Move_Component_New_Node,GUIReporting,New-Node_bjgzklsqao,
8,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_sqhvnyrjok,New-Node_bifidjamvl
8,UMLCloneNode,EnterpriseClient,EnterpriseClient_zbdiyyarat,
8,Move_Operation_New_Component_New_Node,createReport,New-Component_utbslzpwzb,New-Node_zhfmpyzaso
8,Move_Component_New_Node,CashDeskGUI,New-Node_iadltvtpdz,
9,Move_Operation_Component,productBarCodeScannedEvent,AppStore,
9,Move_Component_New_Node,CashDeskApplication,New-Node_tegsswkseh,
9,UMLCloneNode,LightDisplay,LightDisplay_wifsjxgbbg,
9,UMLCloneNode,CashDeskPC,CashDeskPC_ptrywzhqlx,
10,Move_Component_New_Node,Persistence,New-Node_fxeusdenqg,
10,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_xrfqgogokm,New-Node_xutgetjvjx
10,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ryhbhlobuq,New-Node_gqwqpmrtia
10,UMLCloneNode,EnterpriseClient,EnterpriseClient_iyxkvxbdbn,
11,Move_Operation_Component,getEnterpriseByID,CashDeskApplication,
11,Move_Component_New_Node,GUIReporting,New-Node_twhwppsyem,
11,UMLCloneNode,CashBox,CashBox_whyriceztw,
11,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_hqrejgbtnf,New-Node_gxhukmrfsr
12,Move_Operation_Component,rollInReceivedOrder,CashBoxController,
12,Move_Component_New_Node,GUIReporting,New-Node_zoampiysuq,
12,UMLCloneNode,EnterpriseServer,EnterpriseServer_arlthhnzpx,
12,UMLCloneNode,CashDeskPC,CashDeskPC_amorxzrmel,
13,Move_Component_New_Node,CashDeskGUI,New-Node_avmvhwdzjo,
13,UMLCloneNode,StoreServer,StoreServer_zpoorprene,
13,UMLCloneNode,CashBox,CashBox_iyzbkzxtnw,
13,Move_Operation_New_Component_New_Node,scanProduct,New-Component_gbagwglerb,New-Node_eiupgpgvrq
14,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ogsqjlihfg,New-Node_knjdgzpofi
14,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_wvfmudjuwn,New-Node_emlwfzlsjj
14,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_iyckawcaec,New-Node_hcyurbsfcl
14,Move_Component_New_Node,PrinterController,New-Node_eikvyhyerh,
15,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_oqddlchvbg,New-Node_qvinjyhqle
15,Move_Operation_New_Component_New_Node,scanProduct,New-Component_ajocgewdhy,New-Node_nlnberocfg
15,UMLCloneNode,CashBox,CashBox_pbmvbhusqh,
15,Move_Component_New_Node,CashDeskGUI,New-Node_pkgvtzhqdp,
