solID,operation,target,to,where
108,Move_Operation_New_Component_New_Node,getTransaction,New-Component_lhljkoouuw,New-Node_qhwghzqeqs
108,UMLCloneNode,BarCodeScanner,BarCodeScanner_etnjbemjhd,
108,Move_Operation_Component,getTransaction,PrinterController,
108,Move_Component_New_Node,Persistence,New-Node_sgtjkwkjdq,
126,UMLCloneNode,LightDisplay,LightDisplay_sskkeveivf,
126,Move_Operation_Component,printRunningTotal,Inventory,
126,UMLCloneNode,CashBox,CashBox_cdhdcsnjrh,
126,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_psbeuszvmi,New-Node_gevnigjeuf
134,Move_Operation_Component,printRunningTotal,DataStore,
134,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_vajbeustos,New-Node_smuytmpaun
134,UMLCloneNode,BarCodeScanner,BarCodeScanner_iidjlijvac,
134,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_rttvxgnfad,New-Node_vhdjlmqcuh
154,Move_Operation_Component,getEnterpriseByID,CashBoxController,
154,UMLCloneNode,CashBox,CashBox_cenlkehiol,
154,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_niimbqlwsy,New-Node_nzgyukuifl
154,Move_Component_New_Node,DataStore,New-Node_swfuwobxtp,
174,UMLCloneNode,Printer,Printer_eicpkfumvn,
174,UMLCloneNode,BarCodeScanner,BarCodeScanner_etnjbemjhd,
174,Move_Operation_Component,getTransaction,PrinterController,
174,Move_Component_New_Node,Persistence,New-Node_sgtjkwkjdq,
178,Move_Operation_New_Component_New_Node,queryStockItem,New-Component_kkhngrxugq,New-Node_wuksxyhzpg
178,UMLCloneNode,CashBox,CashBox_qvrtmbimrh,
178,Move_Component_New_Node,GUIStore,New-Node_zfnwlbjdyd,
178,Move_Operation_New_Component_New_Node,stopSale,New-Component_ekfntfelqe,New-Node_pogmreltle
186,Move_Operation_Component,createReport,ScannerController,
186,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_phcipdeulf,New-Node_zuwuiupkbk
186,Move_Operation_New_Component_New_Node,productBarCodeScannedEvent,New-Component_bqmoieixft,New-Node_htjsqcgeiq
186,Move_Operation_New_Component_New_Node,startSale,New-Component_ltjhabivmk,New-Node_nowcybuvkj
194,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_wmrdakmtoj,New-Node_puafgzsbmq
194,Move_Component_New_Node,Enterprise,New-Node_ulsaexoixe,
194,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_vuxtrpkfaw,New-Node_ntibnihriq
194,UMLCloneNode,EnterpriseServer,EnterpriseServer_tbvljqanlg,
198,UMLCloneNode,Printer,Printer_eicpkfumvn,
198,UMLCloneNode,CashBox,CashBox_cenlkehiol,
198,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_niimbqlwsy,New-Node_nzgyukuifl
198,Move_Component_New_Node,DataStore,New-Node_swfuwobxtp,
202,UMLCloneNode,EnterpriseServer,EnterpriseServer_mmyaxrtiby,
202,UMLCloneNode,CashBox,CashBox_cenlkehiol,
202,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_niimbqlwsy,New-Node_nzgyukuifl
202,Move_Component_New_Node,DataStore,New-Node_swfuwobxtp,
218,Move_Operation_Component,queryOrderById,CashBoxController,
218,UMLCloneNode,CashBox,CashBox_qvrtmbimrh,
218,Move_Component_New_Node,GUIStore,New-Node_zfnwlbjdyd,
218,Move_Operation_New_Component_New_Node,stopSale,New-Component_ekfntfelqe,New-Node_pogmreltle
220,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_pqmvfweayg,New-Node_qfpqajjgwy
220,Move_Component_New_Node,CashDeskGUI,New-Node_menfwrugmp,
220,UMLCloneNode,CashDeskPC,CashDeskPC_ohltohyyci,
220,UMLCloneNode,StoreServer,StoreServer_nqtpiwbuve,
224,UMLCloneNode,EnterpriseServer,EnterpriseServer_asuswfxazx,
224,UMLCloneNode,CashDeskPC,CashDeskPC_cihgiqmkhc,
224,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_kzzoghaodv,New-Node_gcwlpnefbf
224,Move_Component_New_Node,Enterprise,New-Node_qwkhhqwmct,
228,Move_Component_New_Node,Enterprise,New-Node_cdmvhekjyn,
228,Move_Operation_New_Component_New_Node,createReport,New-Component_xitnrocsuy,New-Node_pxlgqwsvvn
228,Move_Operation_Component,saleStartedEvent,Enterprise,
228,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_mdaxllkoxo,New-Node_cerxarlzmk
240,Move_Operation_New_Component_New_Node,startSale,New-Component_ykncxefhab,New-Node_nuiyplhgnb
240,Move_Component_New_Node,CashDeskGUI,New-Node_menfwrugmp,
240,UMLCloneNode,CashDeskPC,CashDeskPC_ohltohyyci,
240,UMLCloneNode,StoreServer,StoreServer_nqtpiwbuve,
242,UMLCloneNode,LightDisplay,LightDisplay_sskkeveivf,
242,Move_Operation_Component,printRunningTotal,Inventory,
242,UMLCloneNode,CashBox,CashBox_cdhdcsnjrh,
242,Move_Operation_New_Component_New_Node,getProductWithStockItem,New-Component_psbeuszvmi,New-Node_gevnigjeuf
