solID,perfQ,#changes,pas,reliability
32,-0.16474605323708683,5.55,13.0,-0.09616965311108526
112,-0.3063542335167963,12.739999999999998,9.0,-0.526936890135183
128,-0.20584481830738457,16.880000000000003,11.0,-0.5768457629517585
132,-0.17316553487385425,9.84,6.0,-0.763086383988203
172,-0.1532045402928562,6.779999999999999,12.0,-0.8845699809479242
204,-0.18385280136569618,6.37,14.0,-0.7633607736142636
206,-0.20469895595112986,11.29,6.0,-0.4843048692678777
210,-0.27175655605080595,15.17,13.0,-0.881400971287464
220,-0.2435494951773758,8.01,13.0,-0.7631264195427387
224,-0.20668077340946583,7.0,13.0,-0.526936890135183
236,-0.19057299119025872,8.14,11.0,-0.6965288429117744
242,-0.14016877353149554,7.35,11.0,0.61302165232924
252,-0.2952100897826875,13.190000000000001,13.0,-0.8808949377085351
256,-0.18992206566758618,9.15,12.0,-0.7631264195427387
262,-0.18815240398667252,7.35,13.0,-0.7609685012553236
266,-0.1868696743376679,8.14,11.0,-0.8451259593317053
