solID,perfQ,#changes,pas,reliability
34,-0.046981813450018,4.54,12.0,-0.27867994139713775
90,-0.09536823107223844,5.55,12.0,-0.2836101360031838
122,-0.23018282828091152,13.66,11.0,-0.4830897258790659
164,-0.24407717755653052,10.16,14.0,-0.7628220176897221
180,-0.19754807020914583,7.16,10.0,-0.494844257882836
188,-0.08759800652317884,10.379999999999999,9.0,-0.6701107432177124
206,-0.1695826949517181,14.07,6.0,-0.8194495080819486
214,-0.11300545820278123,5.8,11.0,-0.7871917103999181
218,-0.03244941303814034,4.54,11.0,-0.3140428941443496
222,-0.1844077644210466,5.36,13.0,-0.7632730481283015
228,-0.15296071088141489,6.8100000000000005,12.0,-0.8563810290967556
232,-0.14964810721521557,6.8100000000000005,13.0,-0.8935053337793766
236,-0.23018409020304703,12.21,12.0,-0.7618712405993913
240,-0.10892435970535119,11.729999999999999,5.0,-0.8208710212062362
242,-0.029538912950648026,8.14,9.0,-0.5466747913269986
246,-0.24407717755653052,10.16,14.0,-0.7628220176897221
