operation,target,to,where,exec_time(nanoSec)
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_kpgvroserc,New-Node_yliqayxzkd,3338459545
UMLCloneNode,CashBox,CashBox_lbxfmgkthq,,1933897346
UMLCloneNode,New-Node_yliqayxzkd,New-Node_yliqayxzkd_veltupwvzb,,1457161143
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_qbzeizwqsj,New-Node_eegubggdtk,1511984969
Move_Component_New_Node,CashDeskApplication,New-Node_dwjgrwchko,,833200258
Move_Operation_New_Component_New_Node,getTransaction,New-Component_otunonrxhe,New-Node_ppxftgnfgl,633388525
UMLCloneNode,BarCodeScanner,BarCodeScanner_mbkesfptqj,,507192400
Move_Operation_Component,getEnterpriseByID,PrinterController,,304008161
Move_Component_New_Node,DataStore,New-Node_jmezbeobdj,,451824804
Move_Operation_Component,startSale,Inventory,,262566713
UMLCloneNode,New-Node_jmezbeobdj,New-Node_jmezbeobdj_yxsvliomyi,,389604487
UMLCloneNode,New-Node_jmezbeobdj_yxsvliomyi,New-Node_jmezbeobdj_yxsvliomyi_vmnoiiyljp,,401190315
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_jmhxbzsnek,New-Node_cnousrwabf,478391507
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_imoabhyvtz,New-Node_beoqhpcsrs,572144089
Move_Component_New_Node,AppStore,New-Node_qzegdpcmcc,,499965646
Move_Operation_New_Component_New_Node,stopSale,New-Component_ckmwxmndnn,New-Node_rlkvmbrhfw,592328272
UMLCloneNode,BarCodeScanner,BarCodeScanner_ekwmhpxera,,361471657
Move_Operation_Component,getMeanTimeToDelivery,PrinterController,,226537694
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_qblauserkv,New-Node_xolfoxvxcu,602231844
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_yyknjcwjtb,New-Node_mmbznrsurk,561383087
Move_Component_New_Node,CashDeskApplication,New-Node_hwmaukxert,,451091338
Move_Operation_New_Component_New_Node,getTransaction,New-Component_wiqitmolxo,New-Node_fecmneaatx,556343486
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_rtkggtmvzq,New-Node_asclzisvfp,633240007
Move_Operation_Component,getMeanTimeToDelivery,New-Component_wiqitmolxo,,212152828
Move_Component_New_Node,GUIReporting,New-Node_wbywppmwdm,,382224297
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_dwfcsxbrek,New-Node_zwfecynloa,483738093
UMLCloneNode,New-Node_zkqlozahcc,New-Node_zkqlozahcc_vlbamajonb,,206406831
Move_Operation_Component,rollInReceivedOrder,Reporting,,274454627
Move_Operation_Component,saleStartedEvent,Persistence,,234214582
Move_Component_New_Node,Inventory,New-Node_eobynujtgy,,390646451
UMLCloneNode,EnterpriseServer,EnterpriseServer_nzaogafhfo,,353742823
UMLCloneNode,CashDeskPC,CashDeskPC_iwntdrpxnq,,401254124
Move_Component_New_Node,CashDeskGUI,New-Node_ocjlgpureb,,389959373
Move_Operation_Component,printRunningTotal,Enterprise,,245829364
UMLCloneNode,CashBox,CashBox_yioajisoef,,456043956
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qeytjbabxh,New-Node_ramlnaggip,601921442
Move_Operation_Component,stopSale,ScannerController,,235602715
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_pcffyrzcba,New-Node_amjowaqujd,487595618
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_pstouqgxre,New-Node_lskwdnliyq,474989176
Move_Component_New_Node,GUIStore,New-Node_mbxcymuzub,,380722119
UMLCloneNode,CashBox,CashBox_owfalzjzxe,,356584792
Move_Component_New_Node,Persistence,New-Node_bawgtzuvvk,,442697647
Move_Operation_Component,rollInReceivedOrder,GUIReporting,,212526799
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_nnweqouyfs,New-Node_rdefphwewo,521771481
Move_Component_New_Node,CashDeskApplication,New-Node_uikfcmcxst,,351077635
UMLCloneNode,EnterpriseClient,EnterpriseClient_rexcqejcin,,354168000
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_irfmuxqago,New-Node_qpsjmqdogd,513689353
Move_Operation_New_Component_New_Node,stopSale,New-Component_upsptlaloo,New-Node_knscrkgubi,490733543
Move_Component_New_Node,CashDeskGUI,New-Node_ifzjseasoe,,386464889
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_nbrlfbvops,New-Node_ujdirxflcz,522343493
Move_Operation_Component,getEnterpriseByID,GUIReporting,,263381571
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_zgljijfiyq,New-Node_ktytignevj,492939650
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_hxtecwmust,New-Node_vgdnahuzyk,494158957
UMLCloneNode,CashDeskPC,CashDeskPC_igasyhilcw,,350672504
Move_Operation_New_Component_New_Node,stopSale,New-Component_uoblhhoama,New-Node_votjlkswkk,535000390
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_sfwbzqlaek,New-Node_dbzuklglpy,603630718
Move_Operation_New_Component_New_Node,getTransaction,New-Component_zninsiiseh,New-Node_eamnwdadah,563657323
Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,,205543292
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_wprvoosoyr,New-Node_vxrivcagmf,495594559
Move_Component_New_Node,AppStore,New-Node_emvzkyqblr,,375905827
Move_Operation_Component,saleStartedEvent,DataStore,,272633331
UMLCloneNode,CashDeskPC,CashDeskPC_oxnwlmvrqg,,359317728
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_rzvilmaqws,New-Node_fmmnwukdfi,446113683
Move_Component_New_Node,GUIReporting,New-Node_tzdtxarrbb,,356147382
Move_Operation_Component,stopSale,ScannerController,,247883286
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_pcffyrzcba,New-Node_amjowaqujd,513665088
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_pstouqgxre,New-Node_lskwdnliyq,559182861
Move_Component_New_Node,GUIStore,New-Node_mbxcymuzub,,435110328
Move_Component_New_Node,GUIReporting,New-Node_wbywppmwdm,,484524989
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_dwfcsxbrek,New-Node_zwfecynloa,564778074
UMLCloneNode,New-Node_zkqlozahcc,New-Node_zkqlozahcc_vlbamajonb,,210655890
Move_Operation_Component,rollInReceivedOrder,Reporting,,288416932
Move_Operation_New_Component_New_Node,getTransaction,New-Component_zninsiiseh,New-Node_eamnwdadah,565320181
Move_Operation_Component,getMeanTimeToDeliveryReport,GUIReporting,,267046384
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_wprvoosoyr,New-Node_vxrivcagmf,610593115
Move_Component_New_Node,AppStore,New-Node_emvzkyqblr,,423711220
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_kpgvroserc,New-Node_yliqayxzkd,697054843
UMLCloneNode,CashBox,CashBox_lbxfmgkthq,,374181763
UMLCloneNode,New-Node_yliqayxzkd,New-Node_yliqayxzkd_veltupwvzb,,414557213
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_qbzeizwqsj,New-Node_eegubggdtk,595216148
