solID,operation,target,to,where
1,UMLCloneNode,Printer,Printer_gpqgdftsyl,
1,Move_Operation_New_Component_New_Node,getTransaction,New-Component_kulhgwmeve,New-Node_ktcflhujti
1,UMLCloneNode,CashBox,CashBox_chunjhrvhi,
1,Move_Operation_Component,stopSale,New-Component_kulhgwmeve,
2,Move_Operation_Component,rollInReceivedOrder,GUIReporting,
2,UMLCloneNode,Printer,Printer_tzbqszcujl,
2,UMLCloneNode,EnterpriseServer,EnterpriseServer_mdrtglcwcz,
2,UMLCloneNode,CashBox,CashBox_xreqdgzvrd,
3,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ujcqkaxssu,New-Node_ckeecakjsw
3,Move_Component_New_Node,GUIReporting,New-Node_mgkbnkgysl,
3,Move_Operation_Component,queryOrderById,Inventory,
3,Move_Operation_New_Component_New_Node,getTransaction,New-Component_pqxhftgkbv,New-Node_oldpuifhym
9,Move_Component_New_Node,CashDeskApplication,New-Node_bqauurnznn,
9,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_apvgspnoyj,New-Node_toheyvnfqd
9,Move_Operation_Component,enterOrderID,ScannerController,
9,UMLCloneNode,Printer,Printer_rkdgicomxh,
12,Move_Component_New_Node,GUIReporting,New-Node_oaawxlruol,
12,UMLCloneNode,EnterpriseClient,EnterpriseClient_rsywjyrqrh,
12,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_ybenqiydqt,New-Node_tufjslnlzl
12,Move_Operation_Component,getMeanTimeToDelivery,Persistence,
20,Move_Operation_Component,queryOrderById,CashDeskApplication,
20,Move_Component_New_Node,Inventory,New-Node_ixbucethka,
20,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_uivcamqwgd,New-Node_xfreyuvwdv
20,Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuanvrlkru,New-Node_mnslccqedp
40,Move_Operation_Component,rollInReceivedOrder,GUIReporting,
40,UMLCloneNode,Printer,Printer_tzbqszcujl,
40,UMLCloneNode,EnterpriseServer,EnterpriseServer_mdrtglcwcz,
40,UMLCloneNode,CashBox,CashBox_xreqdgzvrd,
56,Move_Operation_Component,queryOrderById,CashDeskApplication,
56,Move_Component_New_Node,Inventory,New-Node_ixbucethka,
56,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_uivcamqwgd,New-Node_xfreyuvwdv
56,Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuanvrlkru,New-Node_mnslccqedp
64,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ujcqkaxssu,New-Node_ckeecakjsw
64,Move_Component_New_Node,GUIReporting,New-Node_mgkbnkgysl,
64,Move_Operation_Component,queryOrderById,Inventory,
64,Move_Operation_New_Component_New_Node,getTransaction,New-Component_pqxhftgkbv,New-Node_oldpuifhym
76,Move_Operation_Component,rollInReceivedOrder,GUIReporting,
76,UMLCloneNode,Printer,Printer_tzbqszcujl,
76,UMLCloneNode,EnterpriseServer,EnterpriseServer_mdrtglcwcz,
76,UMLCloneNode,CashBox,CashBox_xreqdgzvrd,
78,Move_Component_New_Node,GUIReporting,New-Node_oaawxlruol,
78,UMLCloneNode,EnterpriseClient,EnterpriseClient_rsywjyrqrh,
78,Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_ybenqiydqt,New-Node_tufjslnlzl
78,Move_Operation_Component,getMeanTimeToDelivery,Persistence,
82,Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_ujcqkaxssu,New-Node_ckeecakjsw
82,Move_Component_New_Node,GUIReporting,New-Node_mgkbnkgysl,
82,Move_Operation_Component,queryOrderById,Inventory,
82,Move_Operation_New_Component_New_Node,getTransaction,New-Component_pqxhftgkbv,New-Node_oldpuifhym
92,UMLCloneNode,Printer,Printer_gpqgdftsyl,
92,Move_Operation_New_Component_New_Node,getTransaction,New-Component_kulhgwmeve,New-Node_ktcflhujti
92,UMLCloneNode,CashBox,CashBox_chunjhrvhi,
92,Move_Operation_Component,stopSale,New-Component_kulhgwmeve,
98,Move_Operation_Component,queryOrderById,CashDeskApplication,
98,Move_Component_New_Node,Inventory,New-Node_ixbucethka,
98,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_uivcamqwgd,New-Node_xfreyuvwdv
98,Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuanvrlkru,New-Node_mnslccqedp
114,Move_Operation_Component,queryOrderById,CashDeskApplication,
114,Move_Component_New_Node,Inventory,New-Node_ixbucethka,
114,Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_uivcamqwgd,New-Node_xfreyuvwdv
114,Move_Operation_New_Component_New_Node,getTransaction,New-Component_zuanvrlkru,New-Node_mnslccqedp
126,Move_Component_New_Node,CashDeskApplication,New-Node_bqauurnznn,
126,Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_apvgspnoyj,New-Node_toheyvnfqd
126,Move_Operation_Component,enterOrderID,ScannerController,
126,UMLCloneNode,Printer,Printer_rkdgicomxh,
