solID,perfQ,#changes,pas,reliability
7,-0.17465444828014448,13.280000000000001,6.0,-0.07465453614787765
9,-0.2570950865421861,7.35,14.0,-0.48057392808027993
11,-0.1975534169634922,7.16,12.0,-0.24565522395632228
12,-0.2667337207244215,13.440000000000001,12.0,-0.2693253200444651
13,-0.1414557765820305,9.15,12.0,-0.5471841845198536
18,-0.17536104060527125,7.16,11.0,-0.2479986791198993
34,-0.20406757535308825,8.959999999999999,13.0,-0.6842519409184732
46,-0.22327762714860308,11.48,13.0,-0.7581597297814517
50,-0.015778467878263064,6.34,11.0,-0.6254126462004641
74,-0.11104746713422907,9.94,11.0,-0.4847505777824133
78,-0.22327762714860308,11.48,13.0,-0.7581597297814517
82,-0.1635176574159804,8.36,11.0,-0.015558983827877682
102,-0.2460898085801993,14.760000000000002,13.0,-0.763086383988203
112,-0.2667337207244215,13.440000000000001,12.0,-0.2693253200444651
120,-0.10695424619767861,7.35,10.0,-0.0748137717954781
122,-0.18013545410517168,13.09,7.0,-0.054054314195478126
