operation,target,to,where,exec_time(nanoSec)
Move_Operation_Component,queryStockItem,PrinterController,,1961787067
UMLCloneNode,CashDeskPC,CashDeskPC_fpgdkieojd,,1370003994
UMLCloneNode,StoreServer,StoreServer_avgwqlzypa,,800975999
Move_Component_New_Node,CashBoxController,New-Node_ncltofvsqh,,677809907
UMLCloneNode,StoreServer,StoreServer_kepnvmjcrc,,795351683
UMLCloneNode,EnterpriseServer,EnterpriseServer_nvyqzpgklq,,734280903
UMLCloneNode,StoreServer_kepnvmjcrc,StoreServer_kepnvmjcrc_komkitpfft,,530112246
Move_Component_New_Node,GUIReporting,New-Node_cyhdseomve,,621123837
Move_Component_New_Node,GUIStore,New-Node_trdpohjnod,,408986741
Move_Operation_Component,productBarCodeScannedEvent,Inventory,,293454973
Move_Operation_New_Component_New_Node,createReport,New-Component_uavopukmti,New-Node_zstsxtbakw,522694248
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_powdfngndl,New-Node_zdgsitfong,533174759
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_ybjnujbiyi,New-Node_lptgmecdhc,509837290
Move_Operation_Component,printRunningTotal,CashDeskApplication,,219515662
Move_Operation_New_Component_New_Node,stopSale,New-Component_uwpalxwqwf,New-Node_mzyotjcnew,617770460
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_eapsxsquvl,New-Node_qtafuzupyk,586380231
Move_Component_New_Node,Reporting,New-Node_qazfqucaky,,434886663
UMLCloneNode,StoreServer,StoreServer_jtzpsfgjtf,,304893220
Move_Operation_New_Component_New_Node,createReport,New-Component_mcxuggaiag,New-Node_bvfmynrhgy,558896338
Move_Operation_Component,getTransaction,ScannerController,,253886790
Move_Operation_New_Component_New_Node,startSale,New-Component_nxyagxjdcm,New-Node_uoqajgwcjv,515468168
Move_Component_New_Node,CashBoxController,New-Node_hwljzjydod,,353403489
Move_Operation_New_Component_New_Node,startSale,New-Component_xrasjhpclk,New-Node_hlrrgpypsc,612222568
UMLCloneNode,New-Node_uoqajgwcjv,New-Node_uoqajgwcjv_abddyaumeo,,337008758
Move_Operation_New_Component_New_Node,stopSale,New-Component_lbxkfiwvxs,New-Node_pleizciawf,529561042
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_gdvdejbafi,New-Node_dzdiriosyh,496943914
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_czmlebrrbo,New-Node_mxfojsiqvw,494196553
Move_Operation_Component,queryStockItem,CashDeskGUI,,294065858
Move_Operation_Component,getMeanTimeToDelivery,Persistence,,239875118
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_zptglmezdd,New-Node_pbwdiawfog,622533130
Move_Component_New_Node,Inventory,New-Node_orcumwxkiq,,425078353
UMLCloneNode,CashBox,CashBox_ducgumkdwm,,355928794
Move_Component_New_Node,Reporting,New-Node_yezvqfndkm,,379860347
Move_Operation_Component,getMeanTimeToDelivery,Reporting,,241459669
UMLCloneNode,Printer,Printer_amfnyhdwju,,449036586
Move_Operation_New_Component_New_Node,printRunningTotal,New-Component_pvnznrapde,New-Node_tkadmzcdxw,505819547
Move_Component_New_Node,AppStore,New-Node_igsbcomsvn,,401146659
UMLCloneNode,BarCodeScanner,BarCodeScanner_omaavmorlj,,336150759
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_gbfxziynjs,New-Node_vwgfrafduz,500481628
UMLCloneNode,New-Node_wkmmcjzyxa,New-Node_wkmmcjzyxa_vdurvavzzb,,213163452
UMLCloneNode,EnterpriseClient,EnterpriseClient_tehawgrnjv,,339008998
UMLCloneNode,EnterpriseClient,EnterpriseClient_vrxvmjtukw,,405582377
Move_Operation_Component,queryOrderById,GUIReporting,,259268792
UMLCloneNode,EnterpriseClient_vrxvmjtukw,EnterpriseClient_vrxvmjtukw_afptihjmhm,,328780199
Move_Component_New_Node,Enterprise,New-Node_rsmtvxzocz,,395275071
UMLCloneNode,CashDeskPC,CashDeskPC_vfbbsvlrzq,,416716494
UMLCloneNode,EnterpriseServer,EnterpriseServer_qfkuqryulu,,341103406
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_psavfmatpf,New-Node_kvlklhneyg,509432541
Move_Component_New_Node,PrinterController,New-Node_yqfijqndpi,,395200260
UMLCloneNode,StoreServer,StoreServer_xrzvwevnga,,353708510
UMLCloneNode,LightDisplay,LightDisplay_jcodvqmclp,,405656355
Move_Operation_Component,getProductWithStockItem,Enterprise,,257372596
UMLCloneNode,EnterpriseServer,EnterpriseServer_fstczqwrfr,,456414861
Move_Component_New_Node,Reporting,New-Node_estckfdnto,,476486887
Move_Operation_Component,getTransactionContext,PrinterController,,208820549
UMLCloneNode,New-Node_jiqfomzrmy,New-Node_jiqfomzrmy_ulcwwdmjvr,,186365034
UMLCloneNode,LightDisplay,LightDisplay_mgwkfqusgz,,307199624
Move_Operation_Component,rollInReceivedOrder,Enterprise,,195599870
Move_Component_New_Node,CashBoxController,New-Node_phhqpgskqs,,359549914
