solID,operation,target,to,where
2680,Move_Component_New_Node,Reporting,New-Node_pfqyyaxwpl,
2680,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qrxuqcyvyd,New-Node_grsrnkruep
2680,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2680,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_tkfofrriyo,
2794,UMLCloneNode,EnterpriseServer,EnterpriseServer_zioekafyjz,
2794,Move_Component_New_Node,CashDeskApplication,New-Node_cvdxmodedj,
2794,Move_Operation_Component,enterOrderID,DataStore,
2794,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rnbrkahokc,New-Node_fwowoouflv
2812,UMLCloneNode,EnterpriseServer,EnterpriseServer_zioekafyjz,
2812,Move_Component_New_Node,CashDeskApplication,New-Node_cvdxmodedj,
2812,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2812,UMLCloneNode,EnterpriseClient,EnterpriseClient_pbbazvnvty,
2826,Move_Component_New_Node,Reporting,New-Node_pfqyyaxwpl,
2826,Move_Operation_New_Component_New_Node,scanProduct,New-Component_bhymuajtre,New-Node_opauwmwiwb
2826,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2826,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rnbrkahokc,New-Node_fwowoouflv
2836,Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_sgsqsrgehg,New-Node_jrwfccvpkn
2836,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qrxuqcyvyd,New-Node_grsrnkruep
2836,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2836,Move_Operation_New_Component_New_Node,startSale,New-Component_mpwjswvqpn,New-Node_hnmgschpiy
2840,Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_rqavqywojo,New-Node_ofmhfamsps
2840,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qrxuqcyvyd,New-Node_grsrnkruep
2840,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2840,Move_Operation_New_Component_New_Node,startSale,New-Component_mpwjswvqpn,New-Node_hnmgschpiy
2848,UMLCloneNode,New-Node_uxwaghqtyy,New-Node_uxwaghqtyy_daizrbmmig,
2848,Move_Operation_New_Component_New_Node,queryOrderById,New-Component_qrxuqcyvyd,New-Node_grsrnkruep
2848,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2848,Move_Operation_New_Component_New_Node,startSale,New-Component_mpwjswvqpn,New-Node_hnmgschpiy
2858,Move_Operation_Component,getProductWithStockItem,CashDeskApplication,
2858,Move_Operation_New_Component_New_Node,scanProduct,New-Component_bhymuajtre,New-Node_opauwmwiwb
2858,UMLCloneNode,New-Node_ceulesahaz,New-Node_ceulesahaz_ooioihktlg,
2858,UMLCloneNode,EnterpriseClient,EnterpriseClient_pbbazvnvty,
