solID,perfQ,#changes,pas,reliability
2420,-0.22435760314441958,13.09,9.0,-0.5565854827273046
2558,-0.13701190299241048,7.16,12.0,-0.5388125322867441
2720,-0.07856986299005485,12.27,4.0,-0.6472558629577614
2752,-0.08687891927566291,6.34,12.0,-0.5392428993910305
2768,-0.14130384182688518,5.71,12.0,-0.48876727182787766
2770,-0.06151462647807719,4.35,11.0,-0.6978224921739381
2796,-0.12185283027784012,5.359999999999999,11.0,-0.4709943213873172
2818,-0.28855346508066443,14.979999999999999,4.0,-0.4887672718278777
2834,-0.18506163779190837,6.37,12.0,-0.4887672718278777
2856,-0.1232100129605764,6.81,12.0,-0.5451209342103797
2860,-0.11794085048239093,8.04,10.0,-0.6940039835078776
2866,-0.1474686398283272,12.27,9.0,-0.5515999840103187
2868,-0.11376310638350381,5.36,12.0,-0.4887672718278777
2884,-0.048051102436535084,4.54,12.0,-0.8209861751846964
2888,-0.12717757373631572,8.139999999999999,11.0,-0.5544894102192915
2896,-0.15418023499542377,12.08,9.0,-0.27780396800697904
