operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,CashDeskPC,CashDeskPC_xxfgrbwqeb,,2278618329
UMLCloneNode,Printer,Printer_xsjvlnbwkd,,1170849230
Move_Operation_Component,getMeanTimeToDeliveryReport,Enterprise,,950362453
Move_Component_New_Node,Persistence,New-Node_vfwzvaqnsy,,777845086
Move_Component_New_Node,AppStore,New-Node_ffgkticxgt,,1447982409
UMLCloneNode,EnterpriseServer,EnterpriseServer_erxumvtpio,,929247884
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_bmmqiyzcbf,New-Node_wmwgjptfcq,839441243
Move_Operation_Component,getTransaction,New-Component_bmmqiyzcbf,,312586559
UMLCloneNode,EnterpriseServer,EnterpriseServer_wrafmdtmrn,,343685491
Move_Operation_Component,getEnterpriseByID,CashDeskApplication,,284914103
UMLCloneNode,CashDeskPC,CashDeskPC_kvesdsekyw,,551398964
UMLCloneNode,CashDeskPC,CashDeskPC_frnyzuzgpg,,395838018
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_nqhfgqrvbz,New-Node_oavnpyaczh,488457744
Move_Operation_Component,saleStartedEvent,Persistence,,284001742
UMLCloneNode,New-Node_oavnpyaczh,New-Node_oavnpyaczh_alcvndyutu,,416999553
Move_Component_New_Node,GUIReporting,New-Node_zqnoigngzb,,427103552
UMLCloneNode,CashDeskPC,CashDeskPC_brqsheldsw,,352399284
Move_Component_New_Node,GUIStore,New-Node_defzuilwsr,,469917584
UMLCloneNode,LightDisplay,LightDisplay_uzysbapgsl,,439259820
Move_Operation_Component,enterOrderID,ScannerController,,244112694
UMLCloneNode,CashDeskPC,CashDeskPC_fxuncddeaq,,434690400
Move_Component_New_Node,CashBoxController,New-Node_gdpbtcwgnz,,449458236
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_sqcxyyfbhz,New-Node_rxmqnhpuqg,521544866
UMLCloneNode,BarCodeScanner,BarCodeScanner_ymzczgoxek,,330526734
UMLCloneNode,CashDeskPC,CashDeskPC_goubwpjwtc,,321678941
Move_Operation_Component,saleStartedEvent,GUIStore,,226657419
Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_zxtehtcihy,New-Node_ynlgloiukg,642723702
UMLCloneNode,EnterpriseServer,EnterpriseServer_jyhrvtiley,,360951542
Move_Operation_New_Component_New_Node,createReport,New-Component_konuvxdmhk,New-Node_byankoyega,574682590
