solID,operation,target,to,where
5582,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5582,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5582,UMLCloneNode,Printer,Printer_qwfqplvorf,
5582,Move_Operation_New_Component_New_Node,enterOrderID,New-Component_bmbsxfjmlx,New-Node_jsyoldbfds
5610,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5610,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5610,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5610,Move_Operation_New_Component_New_Node,createReport,New-Component_hooqvrfost,New-Node_czzhkfvgbt
5644,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5644,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5644,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5644,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5652,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5652,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5652,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5652,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5656,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5656,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5656,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5656,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5662,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5662,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5662,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5662,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5670,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5670,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5670,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5670,Move_Operation_New_Component_New_Node,createReport,New-Component_hooqvrfost,New-Node_czzhkfvgbt
5676,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
5676,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5676,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5676,Move_Operation_New_Component_New_Node,createReport,New-Component_hooqvrfost,New-Node_czzhkfvgbt
5684,Move_Operation_New_Component_New_Node,createReport,New-Component_ibgbvpgawe,New-Node_ysvgdwoozj
5684,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5684,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5684,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5702,UMLCloneNode,Printer,Printer_ttxbciigro,
5702,Move_Operation_New_Component_New_Node,getEnterpriseByID,New-Component_bgixjpfrww,New-Node_wqrnseuccy
5702,UMLCloneNode,EnterpriseServer,EnterpriseServer_dpzhxmwtzh,
5702,UMLCloneNode,EnterpriseClient,EnterpriseClient_amljxqwrpl,
5710,UMLCloneNode,CashBox,CashBox_oigmhzilhl,
