solID;lqn_solver_message;actions
4710;/tmp/easier-PAS/47/4710/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4790;/tmp/easier-PAS/47/4790/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4852;/tmp/easier-PAS/48/4852/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4856;/tmp/easier-PAS/48/4856/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4874;/tmp/easier-PAS/48/4874/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4884;/tmp/easier-PAS/48/4884/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4910;/tmp/easier-PAS/49/4910/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_sizpsjjnwm,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4924;/tmp/easier-PAS/49/4924/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4974;/tmp/easier-PAS/49/4974/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
4988;/tmp/easier-PAS/49/4988/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5006;/tmp/easier-PAS/50/5006/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5016;/tmp/easier-PAS/50/5016/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5024;/tmp/easier-PAS/50/5024/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5070;/tmp/easier-PAS/50/5070/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5082;/tmp/easier-PAS/50/5082/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> CashDeskApplication to -->  New-Node_ocozcpmkbp,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5128;/tmp/easier-PAS/51/5128/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5134;/tmp/easier-PAS/51/5134/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Cloning --> EnterpriseServer with -->  EnterpriseServer_dokdkqzoei,Move Operation --> startSale to Component -->  PrinterController
5160;/tmp/easier-PAS/51/5160/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Cloning --> EnterpriseServer with -->  EnterpriseServer_dokdkqzoei,Move Operation --> startSale to Component -->  PrinterController
5180;/tmp/easier-PAS/51/5180/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseServer with -->  EnterpriseServer_tulxpcbqrl,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5184;/tmp/easier-PAS/51/5184/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> Printer with -->  Printer_nstpnoiesd,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5220;/tmp/easier-PAS/52/5220/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5224;/tmp/easier-PAS/52/5224/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Moving --> DataStore to -->  New-Node_apabkcslmf,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
5270;/tmp/easier-PAS/52/5270/output.xml: warning: Reference task "Cashier" has more than one entry defined.;Cloning --> EnterpriseClient with -->  EnterpriseClient_dzpjshvudt,Cloning --> LightDisplay with -->  LightDisplay_fdfqzhozlt,Move Operation --> getTransactionContext to New Component --> New-Component_rdpfbksdmr deployed to a New Node -->New-Node_nnelmleljv,Move Operation --> startSale to Component -->  PrinterController
